Tower No,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Ground Earth Available,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-1 LILO MALAYADIPALAYAM 110KV,DD,LILO,34,,,10.39,323,,77.30441666666667,10.734166666666665,GOOD,GOOD,NO,,,PLAIN,2EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30441666666667 10.734166666666665, 77.3033611111111 10.735833333333332)"
T.NO-2,SB,T,27,LILO 1--2,216.61486560252507,8.27,322,"4°53'31.53""",77.3033611111111,10.735833333333332,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3033611111111 10.735833333333332, 77.30258333333333 10.73725)"
T.NO-3,SA,S,29,2--3,178.53291013143766,13.85,323,,77.30258333333333,10.73725,GOOD,GOOD,NO,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30258333333333 10.73725, 77.30177777777777 10.738722222222222)"
T.NO-4,SB,T,27,3-4,185.80904176062046,12.03,321,"8°33'2.97""",77.30177777777777,10.738722222222222,GOOD,GOOD,NO,22KV,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30177777777777 10.738722222222222, 77.29986111111111 10.741166666666667)"
T.NO-5,SD,T,31,4-5,342.0526275297414,8.9,313,"40°13'33.77""",77.29986111111111,10.741166666666667,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29986111111111 10.741166666666667, 77.29730555555555 10.741722222222222)"
T.NO-6,SB,T,27,5-6,286.1485628130954,8.27,312,"0°46'36.10""",77.29730555555555,10.741722222222222,GOOD,GOOD,NO,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29730555555555 10.741722222222222, 77.29466666666667 10.742333333333333)"
T.NO-7,SA,S,29,6-7,296.2195131992489,7.53,309,,77.29466666666667,10.742333333333333,GOOD,GOOD,NO,"3nos LT, 22KV, 400KV DC LINE IS CROSSING ABOVE OUR LINE",,CULTIVATION,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29466666666667 10.742333333333333, 77.29197222222221 10.742944444444444)"
T.NO-8,SA,S,29,7-8,304.02960382173313,5.63,311,,77.29197222222221,10.742944444444444,GOOD,GOOD,NO,2nos 22KV,"2nos TAAR ROAD, NALA",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29197222222221 10.742944444444444, 77.28927777777777 10.743527777777777)"
T.NO-9,SB,T,27,8-9,300.6742423288034,6.12,313,"13°44'26.64""",77.28927777777777,10.743527777777777,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28927777777777 10.743527777777777, 77.28769444444444 10.7435)"
T.NO-10,SA,S,29,9-10,174.07182425654074,6.76,320,,77.28769444444444,10.7435,GOOD,GOOD,NO,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28769444444444 10.7435, 77.2855 10.743444444444444)"
