S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY NOYYAL 110KV S/S,GT,GT,15,,,,137,,11.037416666666667,77.9246388888889,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9246388888889 11.037416666666667, 77.92466666666667 11.037222222222223)"
2,T.NO-4,T,DC,26,GT-4,19.4164878389476,1.73,139,"42°51'9"" ",11.037222222222223,77.92466666666667,GOOD,GOOD,"11KV-3,LT-1",TAR ROAD-2,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92466666666667 11.037222222222223, 77.92352777777778 11.035388888888889)"
3,T.NO-3,T,DC,26,4-3,239.069027688657,,138,"34°10'2"" ",11.035388888888889,77.92352777777778,GOOD,GOOD,,,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92352777777778 11.035388888888889, 77.92363888888889 11.032972222222224)"
4,T.NO-2,T,DC,26,3-2,268.41944787962,,140,"5°3'4"" ",11.032972222222224,77.92363888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92363888888889 11.032972222222224, 77.92355555555557 11.031)"
5,T.NO-1 (LILO) DC,T,DC,26,2-1,217.112873869792,1.54,141,"71°34'55"" ",11.031,77.92355555555557,GOOD,GOOD,LT-1,TAR ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92355555555557 11.031, 77.92297222222223 11.031222222222222)"
6,T.NO-347,T,DC,26,1-347,69.28924880528,2.75,141,"8°16'27"" ",11.031222222222222,77.92297222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92297222222223 11.031222222222222, 77.9208888888889 11.032361111111111)"
7,T.NO-348,S,DA,26,347-348,259.538051160133,,139,,11.032361111111111,77.9208888888889,GOOD,GOOD,LT-2,TAR  ROAD-3,PLAIN,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9208888888889 11.032361111111111, 77.91916666666667 11.033305555555556)"
8,T.NO-349,S,DA,26,348-349,214.709105535839,6.12,140,,11.033305555555556,77.91916666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91916666666667 11.033305555555556, 77.91697222222223 11.034444444444444)"
9,T.NO-350,T,DC,26,349-350,271.950363117978,6.32,141,,11.034444444444444,77.91697222222223,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.91697222222223 11.034444444444444, 77.915 11.0355)"
10,T.NO-351,S,DA,26,350-351,246.008129946959,5.12,140,,11.0355,77.915,GOOD,GOOD,11KV-2,TAR ROAD-1,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.915 11.0355, 77.91294444444445 11.036583333333333)"
