S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY PUGALUR 230KV S/S,GT,GT,15,,,,152,,11.05475,77.98944444444444,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98944444444444 11.05475, 77.98952777777778 11.054916666666667)"
2,T.NO-1,T,DC,26,GT-1,21.02379604162864,0.79,153,"1°53'53""",11.054916666666667,77.98952777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98952777777778 11.054916666666667, 77.98986111111111 11.055666666666667)"
3,T.NO-2 LILO,T,DC,26,1-2,90.47098982546837,,153,"44°7'38""",11.055666666666667,77.98986111111111,GOOD,GOOD,11KV-1,,CULTIVATION,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98986111111111 11.055666666666667, 77.98919444444445 11.057500000000001)"
4,T.NO-3,T,DB,24,2-3,218.04815981796315,2.13,149,"69°59'18""",11.057500000000001,77.98919444444445,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98919444444445 11.057500000000001, 77.98905555555555 11.057861111111112)"
5,T.NO-4,S,DA,26,3-4,40.85339643163099,3.12,151,,11.057861111111112,77.98905555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.98905555555555 11.057861111111112, 77.99108333333334 11.059583333333334)"
6,T.NO-5,S,DA,26,4-5,293.981291921782,7.19,150,,11.059583333333334,77.99108333333334,GOOD,GOOD,,MUD ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99108333333334 11.059583333333334, 77.99280555555556 11.06113888888889)"
7,T.NO-6,S,DC,26,5-6,254.07282420597446,6.39,150,,11.06113888888889,77.99280555555556,GOOD,NO EARTH WIRE,,TAR ROAD -2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99280555555556 11.06113888888889, 77.99461111111111 11.062694444444444)"
8,T.NO-7,T,DC,26,6-7,262.7565413077284,,149,"21°40'29""",11.062694444444444,77.99461111111111,GOOD,GOOD,LT-1,,PLAIN,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99461111111111 11.062694444444444, 77.99466666666667 11.062805555555556)"
68,GANTRY PUGALUR   110KV S/S,GT,GT,15,7-GT,13.416407864998739,,148,,11.062805555555556,77.99466666666667,GOOD,GOOD,,,PLAIN,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
