S. No ,Tower No,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,SINGARAPET 110KV GANTRY,T,T,20,,,,,339,,12.24944,78.61069,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61069 12.24944, 78.61035 12.24943)"
2,SS-12,T,DC,26,GANTRY-SS-12,41,37.02518390706107,0.13,339,"28°00'18""(LT)",12.24943,78.61035,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61035 12.24943, 78.60921 12.24879)"
3,SS-11,T,DD,28,SS-12- SS-11,144,142.88031911335892,4.27,336,"33°25'08""(LT)",12.24879,78.60921,GOOD,GOOD,"LT LINE-5,11KV LINE-1(1993 YEAR OF TOWER)",TAR ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60921 12.24879, 78.60818 12.24679)"
4,SS-10,S,DA,26,SS-11 - SS-10,251,248.12006207008736,0.58,338,,12.24679,78.60818,GOOD,GOOD,"LT LINE-3,11KV-2",NH-77(T.V.MALAI TO KRISHNAGIRI)ROAD CROSSING,,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60818 12.24679, 78.6069 12.24437)"
5,SS-9,S,DA,26,SS-10-SS-9,305,301.90128145778516,8.86,346,,12.24437,78.6069,GOOD,GOOD,,"SAND ROAD CROSSING, EARTH JOINTING FOR ROMING JOINT",,"MANGO FARM, AGRICULTURE LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6069 12.24437, 78.606 12.24263)"
6,SS-8,S,DA,26,SS-9-SS-8,221,216.05761592700503,16.58,352,,12.24263,78.606,GOOD,GOOD,11 KV LINE CROSSING,SAND ROAD CROSSING,TOWER IN SMALL HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.606 12.24263, 78.60506 12.2408)"
7,SS-7,T,DB,24,SS-8 - SS-7,227,226.91096626929897,17.58,354,"03°14'14""(RT)",12.2408,78.60506,GOOD,GOOD,LT LINE-1,,TOWER IN SMALL HILLS,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60506 12.2408, 78.60379 12.23864)"
8,SS-6,S,DA,26,SS-7 - SS-6,281,276.1483762347787,16.33,344,,12.23864,78.60379,GOOD,GOOD,LT LINE CROSSING,,TOWER IN HILLS,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60379 12.23864, 78.60242 12.23627)"
9,SS-5,S,DA,26,SS-5 - SS-4,303,301.7260316427542,16.47,345,,12.23627,78.60242,GOOD,GOOD,LT LINE-1,SAND ROAD CROSSING,TOWER IN SMALL HILLS,AGRICULTURE LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60242 12.23627, 78.6013 12.23435)"
10,SS-4,S,DA,26,SS-5 - SS-4,247,244.98366359234785,6.96,340,,12.23435,78.6013,GOOD,GOOD,LT LINE CROSSING,TAR ROAD CROSSING,TOWER IN SMALL HILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6013 12.23435, 78.60007 12.23216)"
