Tower No,Joint Box,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,   Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-35 TAPPING-110KV KAVILIPALAYAM,,DC,T,26,,,6.13,285,,77.17957744,11.38179209,GOOD,,NO,,,CULTIVATION LAND,NEED 3WAY JUNCTION BOX.2EARTH WIRE ON THIS TOWER 1 CONTINIUE TO OUR LINE ANOTHER ONE CONNECT TO PULIYAMPATTI -SENBAHAPUTHUR TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17957744 11.38179209, 77.17993499 11.38183463)"
T.NO-1,,SD,T,28,35-1,39.3192065,6.56,287,"35°37'27.18""",77.17993499,11.38183463,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17993499 11.38183463, 77.18169554 11.38088166)"
T.NO-2,,SB,T,24,01-Feb,219.2373143,11.36,283,"4°30'8.51""",77.18169554,11.38088166,GOOD,GOOD,NO,11KV,MUDROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18169554 11.38088166, 77.18323592 11.37988512)"
T.NO-3,,SD,T,28,02-Mar,201.1019642,1.57,286,"31°14'9.47""",77.18323592,11.37988512,GOOD,GOOD,NO,LT,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18323592 11.37988512, 77.18555268 11.37980465)"
T.NO-4,,SA,S,26,03-Apr,253.0968194,10.96,286,,77.18555268,11.37980465,GOOD,GOOD,NO,11KV,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18555268 11.37980465, 77.18775891 11.37964365)"
T.NO-5,,SA,S,26,04-May,241.5305364,9.28,287,,77.18775891,11.37964365,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18775891 11.37964365, 77.19056109 11.37955953)"
T.NO-6,,SA,S,26,05-Jun,306.0800549,12.62,287,,77.19056109,11.37955953,GOOD,GOOD,NO,,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19056109 11.37955953, 77.19272227 11.37949824)"
T.NO-7,,SA,S,26,06-Jul,236.0529602,15.86,289,,77.19272227,11.37949824,GOOD,GOOD,NO,2nos LT,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19272227 11.37949824, 77.19486506 11.37942804)"
T.NO-8,,SC,T,26,07-Aug,234.0769104,15.03,288,"18°2'5.56""",77.19486506,11.37942804,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19486506 11.37942804, 77.19631544 11.37984198)"
T.NO-9,,SA,S,26,08-Sep,164.8423489,4.29,291,,77.19631544,11.37984198,GOOD,GOOD,NO,LT,TAAR ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.19631544 11.37984198, 77.19868401 11.38054729)"
