S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation(M),Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,
1,T.NO 15 KOMANGALAM LILO,T,DC,26,,,,391,,77.18086111111111,10.616555555555555,GOOD,GOOD,,,PLAIN,KOMANGALAM PUDHUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18086111111111 10.616555555555555, 77.1798888888889 10.61411111111111)",,
2,T.NO 1,T,DC,26,15-1,292.4961538208665,1.23,397,"21°5'21""",77.1798888888889,10.61411111111111,GOOD,GOOD,"LT-1, 11KV-2",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1798888888889 10.61411111111111, 77.17875000000001 10.612888888888888)",,
3,T.NO 2,T,DD,28,1-2,183.3712082089225,3.15,399,"39°51'54""",77.17875000000001,10.612888888888888,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17875000000001 10.612888888888888, 77.17647222222223 10.612583333333333)",,
4,T.NO 3,S,DA,26,2-3,251.58895047279003,4.1,398,,77.17647222222223,10.612583333333333,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17647222222223 10.612583333333333, 77.17452777777778 10.612333333333334)",,
5,T.NO 4,T,DB,24,3-4,214.96511344867102,5.38,397,"2°6'13""",77.17452777777778,10.612333333333334,GOOD,GOOD,,"MUD ROAD , ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17452777777778 10.612333333333334, 77.17163888888889 10.611833333333333)",,
6,T.NO 5,T,DC,26,4-5,318.9545422156581,6.8,402,"18°18'23""",77.17163888888889,10.611833333333333,GOOD,GOOD,"LT-4 , 11KV-4",MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.17163888888889 10.611833333333333, 77.16936111111112 10.612166666666667)",,
7,T.NO 6,T,DB,24,5-6,252.57870060636546,4.79,395,"14°1'39""",77.16936111111112,10.612166666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16936111111112 10.612166666666667, 77.16638888888889 10.613416666666666)",,
8,T.NO 7,T,DD,28,6-7,354.3162429243119,3.95,393,"62°15'59""",77.16638888888889,10.613416666666666,GOOD,GOOD,11KV,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16638888888889 10.613416666666666, 77.16502777777778 10.612305555555555)",,
9,T.NO 8,S,DA,26,7-8,190.26297590440447,4.16,391,,77.16502777777778,10.612305555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16502777777778 10.612305555555555, 77.16377777777778 10.611277777777778)",,
10,T.NO 9,T,DD,28,8-9,178.10390225932727,5.26,393,"45°58'1""",77.16377777777778,10.611277777777778,GOOD,GOOD,"LT-1 , 11KV",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16377777777778 10.611277777777778, 77.16144444444446 10.611527777777777)",,
11,T.NO 10,S,DA,26,9-10,257.12253887981115,5.87,392,,77.16144444444446,10.611527777777777,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.16144444444446 10.611527777777777, 77.15980555555556 10.611749999999999)",,
12,T.NO 11,S,DA,26,10-11,183.7090090333079,6.65,390,,77.15980555555556,10.611749999999999,GOOD,GOOD,"LT-1, 11KV-2",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.15980555555556 10.611749999999999, 77.15719444444446 10.612)",,
