Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
K.R.THOPPUR  GANTRY,Gantry,20,,,,,,11.668789028772473,78.00572475506242,GOOD,GOOD,,,,400Kv K R Thoppur SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00572475506242 11.668789028772473, 78.00571070818856 11.668561270207698)"
1,DD,28,Gantry -1,26,1.05,254.145," 31d17'22""LT",11.668561270207698,78.00571070818856,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00571070818856 11.668561270207698, 78.00504070926071 11.667506270448612)"
2,DC,26,1-2,137.809,4.3,254.508," 21d47'27""LT",11.667506270448612,78.00504070926071,GOOD,GOOD,LT,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00504070926071 11.667506270448612, 78.00450771010122 11.667122270532012)"
3,DD,28,2-3,72.05,4.3,250.352,"34d31'9""LT",11.667122270532012,78.00450771010122,GOOD,GOOD,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00450771010122 11.667122270532012, 78.00406498462729 11.667191085776302)"
DP 4,DP,15,3-DP 4,50.359,,255.399,,11.667191085776302,78.00406498462729,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00406498462729 11.667191085776302, 78.00338735020748 11.66714788697971)"
DP 5,DP,15,DP 4 -DP 5,73,,254.932,,11.66714788697971,78.00338735020748,GOOD,GOOD,400KV ,,PLAIN,Power grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00338735020748 11.66714788697971, 78.00281021234935 11.667132831984034)"
DP 6,DP,15,DP 5 - DP 6,63.516,,255.073,,11.667132831984034,78.00281021234935,GOOD,GOOD,400KV ,,PLAIN,Power grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00281021234935 11.667132831984034, 78.00245871329628 11.667064270514892)"
7,DC,26,DP 6-7,37.842,4.33,253.999481,"27d19'48""RT",11.667064270514892,78.00245871329628,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00245871329628 11.667064270514892, 78.00045071646399 11.665968270745681)"
8,DD,28,7-8,250.499,7.65,248.982071,"36d36'18""RT",11.665968270745681,78.00045071646399,GOOD,GOOD,"HT,2nos LT",2nos TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00045071646399 11.665968270745681, 77.99796428602099 11.666273270697083)"
9,DC,26,8-9,273.62,4.32,241.483932,"25d54'20""RT",11.666273270697083,77.99796428602099,GOOD,GOOD,,TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99796428602099 11.666273270697083, 77.99615828886883 11.667376270461753)"
