Tower No,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Difference,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,,,,
Ramiyanahalli Gantry,Gantry,20,,,,,,,,12.03291,78.38131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38131 12.03291, 78.38093 12.033)",,,,,,,,,,,,,,,,,
1,T,24,Gantry to 1,48,42.58468418693385,=E8-F8,2.6,408,"6˚30'58""  RT",12.033,78.38093,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38093 12.033, 78.37839 12.03389)",,,,,,,,,,,,,,,,,
2,T,24,1 to 2 ,295,293.75774457949905,=E9-F9,3.2,412,"0˚34'28""  LT",12.03389,78.37839,good,good ,,road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37839 12.03389, 78.37579 12.03483)",,,,,,,,,,,,,,,,,
3,S,26,2 to 3 ,304,301.78734994176426,=E10-F10,4.2,411,,12.03483,78.37579,good,good ,,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37579 12.03483, 78.37293 12.03579)",,,,,,,,,,,,,,,,,
4,S,26,3 to 4 ,330,329.23146921637635,=E11-F11,3.6,414,,12.03579,78.37293,good,good ,Lt -11kv line crossing,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37293 12.03579, 78.370392 12.036134)",,,,,,,,,,,,,,,,,
5,T,28,4 to 5  ,290,279.17802080262584,=E12-F12,3.3,418,"46˚56'52""  LT",12.036134,78.370392,good,good ,Lt line crossing ,road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.370392 12.036134, 78.3694 12.03534)",,,,,,,,,,,,,,,,,
6,T,28,5 to 6 ,290,139.2482781403145,=E13-F13,5.8,418,"69˚39'19""  LT",12.03534,78.3694,good ,good ,Lt -11kv line crossing,road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3694 12.03534, 78.37017 12.03311)",,,,,,,,,,,,,,,,,
7,T,24,6 to 7,262,260.7077030045762,=E14-F14,6.5,419,"12˚3'15""  LT",12.03311,78.37017,good ,good ,Lt line crossing ,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37017 12.03311, 78.37134 12.03118)",,,,,,,,,,,,,,,,,
8,T,26,7 to 8 ,250,248.7766866390288,=E15-F15,8.6,419,"17˚48'45""  LT",12.03118,78.37134,good,good ,LT-33 kv line crossing ,,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37134 12.03118, 78.37314 12.02962)",,,,,,,,,,,,,,,,,
9,S,26,8 to 9,262,261.3073127545961,=E16-F16,5.8,418,,12.02962,78.37314,good ,good ,2-Lt line crossing ,road,plain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37314 12.02962, 78.374847 12.02818)",,,,,,,,,,,,,,,,,
