Tower No,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),,Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom,,,,,,,,,,,,,,,
SINGARAPET Gantry,T,T,20,,,,,,,,12.227076,78.597734,,,,,,Inside the 230 kv Singarapettai substation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.597734 12.227076, 78.59824 12.22721)",,,,,,,,,,,,,,,
1,T,DD,28,Gantry to 1,,57.04531772692841,,,335,"101˚55'40"" RT",12.22721,78.59824,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59824 12.22721, 78.59825 12.22703)",,,,,,,,,,,,,,,
DP1,T,DP1,26,1 to DP1,,19.95091539326054,,,334,"17˚30'46"" LT",12.22703,78.59825,good,good ,110 KV CROSSING,,Plain,Should be dismantle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59825 12.22703, 78.59843 12.22656)",,,,,,,,,,,,,,,
DP2,T,DP 2,26,DP1-DP2,,55.58471929523732,,,333,"26˚16'19"" LT",12.22656,78.59843,good,good ,,,Plain,Should be dismantle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59843 12.22656, 78.59868 12.22633)",,,,,,,,,,,,,,,
2,T,DB,24,DP2-2,,37.26386923566874,,,326,"3˚22'27"" RT",12.22633,78.59868,good,good ,,,Plain,Should be dismantle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59868 12.22633, 78.60039 12.22456)",,,,,,,,,,,,,,,
3,T,DD,28,2  to 3,,270.2319332083122,,,339,"57˚21'15"" RT",12.22456,78.60039,good,good ,,,Plain,Should be dismantle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60039 12.22456, 78.59996 12.22284)",,,,,,,,,,,,,,,
4,S,DA,26,3  to 4,,196.02870843805582,,,344,,12.22284,78.59996,good ,good ,,,Plain,Should be dismantle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59996 12.22284, 78.599935 12.22052)",,,,,,,,,,,,,,,
5,S,DA,26,4  to 5,,256.77608825570536,,6.12,339,,12.22052,78.599935,good ,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.599935 12.22052, 78.5988 12.21815)",,,,,,,,,,,,,,,
6,S,DA,26,5  to 6,,289.9406524273376,,5.76,335,,12.21815,78.5988,good,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5988 12.21815, 78.598326 12.216226)",,,,,,,,,,,,,,,
7,T,DC,26,6  to 7,,219.1148404635985,,5.32,339,"28˚58'20"" RT",12.216226,78.598326,good ,good ,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.598326 12.216226, 78.59672 12.21402)",,,,,,,,,,,,,,,
8,S,DA,26,7  to 8,,300.263319223266,,5.51,333,,12.21402,78.59672,good ,good ,"11Kv,LT, line crossing ",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59672 12.21402, 78.5951 12.21179)",,,,,,,,,,,,,,,
9,T,DB,24,8  to 9,,303.3387220166529,,5.88,328,"0˚45'19"" LT",12.21179,78.5951,good ,good ,LTLine crossing ,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5951 12.21179, 78.59344 12.20944)",,,,,,,,,,,,,,,
