S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Bhavani Barrage-2,,Gantry,15,,,-,309,,11.316119444444444,76.94588333333334,OK,-,-,-,Plain,No Peak Available on Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94588333333334 11.316119444444444, 76.94602222222223 11.316152777777779)"
2,1,Tension,DD+0,28,"=CONCATENATE(B6,""-"",B7)",25,14,315," 51°25’42.79""RT",11.316152777777779,76.94602222222223,OK,,-,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94602222222223 11.316152777777779, 76.94722222222222 11.315205555555556)"
3,2,Tension,DD+0,28,"=CONCATENATE(B7,""-"",B8)",170,14,364," 31°6’2.67""LT",11.315205555555556,76.94722222222222,OK,OK,"33kv, Two LT",Road,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94722222222222 11.315205555555556, 76.94779166666667 11.315119444444445)"
4,3,Tension,DD+0,28,"=CONCATENATE(B8,""-"",B9)",72,3.5,375," 21°59’5.9""LT",11.315119444444445,76.94779166666667,OK,OK,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94779166666667 11.315119444444445, 76.94898333333333 11.315427777777778)"
5,4,Tension,DD+0,28,"=CONCATENATE(B9,""-"",B10)",143,2.2,379," 23°16’18.68""RT",11.315427777777778,76.94898333333333,OK,OK,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.94898333333333 11.315427777777778, 76.95051944444445 11.31520277777778)"
6,5,Tension,DD+0,28,"=CONCATENATE(B10,""-"",B11)",176,0.5,384," 30°27’36.5""RT",11.31520277777778,76.95051944444445,OK,OK,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95051944444445 11.31520277777778, 76.95182222222222 11.314180555555556)"
7,6,Tension,DC+0,26,"=CONCATENATE(B11,""-"",B12)",186,1,402," 17°32’25.97""RT",11.314180555555556,76.95182222222222,OK,OK,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95182222222222 11.314180555555556, 76.95265833333333 11.312927777777778)"
8,7,Tension,DD+0,28,"=CONCATENATE(B12,""-"",B13)",170,2.7,362," 75°25’41.77""LT",11.312927777777778,76.95265833333333,OK,OK,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95265833333333 11.312927777777778, 76.9538888888889 11.313344444444445)"
9,8,Tension,DD+0,28,"=CONCATENATE(B13,""-"",B14)",147,2.5,358," 28°14’18.51""RT",11.313344444444445,76.9538888888889,OK,OK,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.9538888888889 11.313344444444445, 76.95552500000001 11.313108333333334)"
10,9,Tension,DD+0,28,"=CONCATENATE(B14,""-"",B15)",186,"2,5",349," 98°39’16.12""RT",11.313108333333334,76.95552500000001,OK,OK,33kv,,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95552500000001 11.313108333333334, 76.95496666666666 11.311530555555557)"
11,10,Tension,DC+0,26,"=CONCATENATE(B15,""-"",B16)",185,2.9,336," 5°54’10.78""RT",11.311530555555557,76.95496666666666,OK,OK,-,-,Hilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95496666666666 11.311530555555557, 76.95436944444445 11.310025000000001)"
12,11,Tension,DD+9,37,"=CONCATENATE(B16,""-"",B17)",190,4,334," 16°33’32.58""RT",11.310025000000001,76.95436944444445,OK,OK,33kv,-,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95436944444445 11.310025000000001, 76.95343611111112 11.309016666666666)"
13,12,Tension,DD+9,37,"=CONCATENATE(B17,""-"",B18)",153,2.6,334," 4°43’27.94""RT",11.309016666666666,76.95343611111112,OK,OK,"Four 33kv, Two LT",SH,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.95343611111112 11.309016666666666, 76.95298611111112 11.308561111111112)"
14,0.175675675675676,Tension,DD+0,28,"=CONCATENATE(B18,""-"",B19)",75,5.7,325,,11.308561111111112,76.95298611111112,OK,OK,-,-,Plain,LILO POINT (1ST TOWER FROM METTUPALAYAM SS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,=SUM(G7:G19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
