S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,72-LILO-THUDIYALUR-PYKRA,T,DD,28,,,6.9,355, 140°14’26.3”,76.89047222222223,11.27563888888889,GOOD,GOOD,-,-,HILLY,"LILO POINT - THUDIYALUR  & SANDINALA, NEED 3WAY JUNCTION BOX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89047222222223 11.27563888888889, 76.88997222222223 11.276508333333334)"
2,T.NO 73,T,DB,26,72 LILO-73,76,4.9,344,"10°44'12""",76.88997222222223,11.276508333333334,GOOD,GOOD,-,-,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88997222222223 11.276508333333334, 76.88948611111111 11.277794444444446)"
3,T.NO 74,T,T-MC,45,73-74,155,5.5,350,"5°19'35""",76.88948611111111,11.277794444444446,GOOD,GOOD,-,-,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88948611111111 11.277794444444446, 76.88879444444446 11.279922222222224)"
4,T.NO 75,T,DC,28,74-75,257,3.2,348,"65°25'31""",76.88879444444446,11.279922222222224,GOOD,GOOD,-,-,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88879444444446 11.279922222222224, 76.88869444444445 11.280000000000001)"
5,T.NO.133,T,T-MC,45,75-133,45,1.5,363,"2°35'16""",76.88869444444445,11.280000000000001,GOOD,MISSING,-,RIVER,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88869444444445 11.280000000000001, 76.8883888888889 11.281777777777778)"
6,T.NO.132,T,DB,33,133-132,199,10.2,333,"3°28'33""",76.8883888888889,11.281777777777778,GOOD,GOOD,DP SWITCH ,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.8883888888889 11.281777777777778, 76.88786111111112 11.284027777777778)"
7,T.NO.BHAVANI BARRAGE 1 LILO,T,DC,26,132-1,296,3.45,320,"22°25'37""",76.88786111111112,11.284027777777778,GOOD,GOOD,-,RIVER,WATER LOGGED,BHAVANI BARRAGE LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.88786111111112 11.284027777777778, 76.8891388888889 11.284916666666666)"
8,T.NO.2,T,DC,35,1-2,169.2572007330855,3.15,322,"20°51'36""",76.8891388888889,11.284916666666666,GOOD,GOOD,110 KV,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.8891388888889 11.284916666666666, 76.89030555555556 11.28661111111111)"
9,T.NO.3,T,DB,33,2-3,228.53664913969487,4.1,316,"11°49'16""",76.89030555555556,11.28661111111111,GOOD,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89030555555556 11.28661111111111, 76.89083333333333 11.287916666666666)"
10,T.NO.4,T,DB,33,3-4,155.24174696260025,5.25,307,"2°19'22""",76.89083333333333,11.287916666666666,GOOD,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89083333333333 11.287916666666666, 76.89144444444445 11.289194444444444)"
11,T.NO.5,T,DC,35,4-5,155.7562197795003,6.2,309,"24°31'44""",76.89144444444445,11.289194444444444,GOOD,GOOD,HT,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89144444444445 11.289194444444444, 76.893 11.290527777777777)"
12,T.NO.6,T,DC,26,5-6,224.64416306683776,4.7,313,"22°2'20""",76.893,11.290527777777777,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.893 11.290527777777777, 76.89358333333334 11.291638888888889)"
13,T.NO.7,T,DD,28,6-7,137.7425134081704,3.96,320,"44°4'38""",76.89358333333334,11.291638888888889,GOOD,GOOD,2 NOS HT,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89358333333334 11.291638888888889, 76.89291666666668 11.29375)"
14,T.NO.8,T,DB,33,7-8,245.12241839538055,3.2,321,"1°12'36""",76.89291666666668,11.29375,GOOD,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89291666666668 11.29375, 76.89241666666668 11.295277777777777)"
15,T.NO.9,T,DB,24,8-9,179.30142219179413,4.9,324,"3°56'34""",76.89241666666668,11.295277777777777,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89241666666668 11.295277777777777, 76.89161111111112 11.298333333333334)"
16,T.NO.10,T,DD,37,9-10,349.2678055590008,4.3,317,"35°28'31""",76.89161111111112,11.298333333333334,GOOD,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89161111111112 11.298333333333334, 76.89222222222223 11.299916666666666)"
17,T.NO.11,T,DB,33,10-11,185.16209115258988,4.95,327,"4°36'47""",76.89222222222223,11.299916666666666,GOOD,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89222222222223 11.299916666666666, 76.89347222222223 11.302444444444445)"
18,T.NO.12,T,DB,33,11-12,311.3149530620076,5.15,314,"6°36'41""",76.89347222222223,11.302444444444445,GOOD,GOOD,,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89347222222223 11.302444444444445, 76.89436111111112 11.303805555555556)"
19,T.NO.13,T,DD,28,12-13,180.62391868188442,4.85,318,"56°16'21""",76.89436111111112,11.303805555555556,GOOD,GOOD,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89436111111112 11.303805555555556, 76.89630555555556 11.303861111111113)"
20,T.NO.14,T,DD,37,13-14,212.08488866489287,5.2,315,"56°24'12""",76.89630555555556,11.303861111111113,GOOD,GOOD,HT,RIVER,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(76.89630555555556 11.303861111111113, 76.89730555555556 11.305416666666668)"
