S.No,Tower No.,JOINT BOX,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : T.NO   243 /1  ,,T (MC),MC,45,,,4.15,304,,10.98474622,77.56714645,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56714645 10.98474622, 77.56814644 10.98723159)"
2,T.NO 244,,T,DB,24,03-01-2004,296.0152023,5.3,297,"1°35'53""",10.98723159,77.56814644,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56814644 10.98723159, 77.56902805 10.98977216)"
3,T.NO 245,,S,DA,26,04-May,297.2541001,7.05,302,,10.98977216,77.56902805,GOOD,GOOD,"LT-2,HT-2",ROAD-2,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56902805 10.98977216, 77.56971959 10.99148306)"
4,T.NO 246,,T,DD,28,05-Jun,203.9019372,8.15,307,"77°49'58""",10.99148306,77.56971959,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56971959 10.99148306, 77.56914655 10.99184029)"
5,T.NO 1,,T,DB,24,06-Jan,74.09453421,7.85,308,"9°30'4""",10.99184029,77.56914655,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56914655 10.99184029, 77.56698693 10.99273499)"
6,T.NO 2,,T,DB,24,01-Feb,256.0820181,5.25,302,"1°21'10""",10.99273499,77.56698693,GOOD,GOOD,"LT-3,HT-2",ROAD-3,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56698693 10.99273499, 77.56486324 10.99355708)"
7,T.NO 3 ,,T,DD,28,02-Mar,249.4193256,"6,40",305,"39°20'26""",10.99355708,77.56486324,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56486324 10.99355708, 77.56467066 10.99349546)"
8,GANTRY ( 110KV KANGEYAM SS),2W,T,GANTRY,15,3-GANTRY,22.13594362,,307,,10.99349546,77.56467066,GOOD,MISSING,,,PLAIN,KANGEYAM 110KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
