S. No ,Tower No, Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Sipcot - II Gantry,T,20,,,,290,,11.22025,77.55035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55035 11.22025, 77.55042 11.2201)"
2,254,T,28,Gantry - 254,18.278946221830388,14.75,292,"80⁰16'43"" RT",11.2201,77.55042,GOOD,NO,SUB STATION,,,Tapping to Periyandipalayam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55042 11.2201, 77.54918 11.21926)"
3,253,T,24,254-253,164.3203054740973,12.65,290,"6⁰32'43"" RT",11.21926,77.54918,GOOD,GOOD,,TAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54918 11.21926, 77.54744 11.21835)"
4,252,T,24,253-252,215.15425401890872,9.83,288,"0⁰17'24"" LT",11.21835,77.54744,GOOD,GOOD,LT/11 KV,TAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54744 11.21835, 77.54557 11.21736)"
5,251,T,24,252-251,231.85456197772393,14.16,287,"0⁰21'59"" LT",11.21736,77.54557,GOOD,GOOD,LT,TAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54557 11.21736, 77.543654 11.21633)"
6,250,S,26,251-250,238.38153527304473,16.09,290,,11.21633,77.543654,GOOD,GOOD,,TAR ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.543654 11.21633, 77.5419 11.21542)"
7,249,S,26,250-249,216.50802368595836,8.36,288,,11.21542,77.5419,GOOD,GOOD,,SAND ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5419 11.21542, 77.53997 11.2144)"
8,248,S,26,249-248,239.20238190979148,4.93,285,,11.2144,77.53997,GOOD,GOOD,,CANAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53997 11.2144, 77.53825 11.2135)"
9,247,S,26,248-247,212.70633694562744,6.28,290,,11.2135,77.53825,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53825 11.2135, 77.536745 11.212688)"
10,246,T,24,247-246,187.403385790259,10.58,290,"0⁰15'42"" RT",11.212688,77.536745,GOOD,GOOD,LT,TAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.536745 11.212688, 77.53495 11.21173)"
11,245,S,26,246-245,222.96146004445828,9.43,285,,11.21173,77.53495,GOOD,GOOD,,TAR ROAD,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53495 11.21173, 77.53304 11.21072)"
12,244,S,26,245-244,236.75447060302977,13.16,284,,11.21072,77.53304,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53304 11.21072, 77.53114 11.20973)"
13,243,S,26,244-243,234.7508084765585,12.05,283,,11.20973,77.53114,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53114 11.20973, 77.53033 11.20932)"
14,242 / Tapping 1,T,28,243-01,99.46244262622977,12.93,283,"70⁰1'49"" LT",11.20932,77.53033,GOOD,GOOD,110 KV DC,,,Tapping to Uthukuli Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53033 11.20932, 77.53065 11.20681)"
15,2,T,24,01-02,279.98998928744356,15.56,288,"12⁰9'38"" RT",11.20681,77.53065,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53065 11.20681, 77.53046 11.20466)"
16,3,S,26,02-03,238.85846714227566,13.89,286,,11.20466,77.53046,GOOD,GOOD,230 KV S/C LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53046 11.20466, 77.5303 11.20215)"
17,4,S,26,03-04,278.34756049691794,14.83,289,,11.20215,77.5303,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5303 11.20215, 77.53011 11.19976)"
18,5,T,26,04-05,265.3302244701501,16.14,292,"24⁰38'40"" LT",11.19976,77.53011,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53011 11.19976, 77.5304 11.19898)"
19,6,T,26,05-06,91.96010208075828,15.58,291,"28⁰24'31"" LT",11.19898,77.5304,GOOD,GOOD,,HIGHWAY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5304 11.19898, 77.53219 11.19742)"
20,7,S,26,06-07,260.9004573931772,15.21,291,,11.19742,77.53219,GOOD,GOOD,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53219 11.19742, 77.53383 11.19592)"
21,8,S,26,07-08,244.2889235727495,10.87,286,,11.19592,77.53383,GOOD,GOOD,,TAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53383 11.19592, 77.53558 11.1944)"
22,9,T,24,08-09,254.69632705001717,14.72,282,"5⁰19'6"" RT",11.1944,77.53558,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53558 11.1944, 77.53688 11.19304)"
23,10,S,26,09-10,206.9709768186356,13.05,278,,11.19304,77.53688,GOOD,GOOD,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53688 11.19304, 77.538 11.19187)"
24,11,T,26,10-11,178.17780893256668,16.49,274,"23⁰57'39"" RT",11.19187,77.538,GOOD,GOOD,,TAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.538 11.19187, 77.5388 11.18963)"
25,12,T,24,11-12,262.8785920571549,11.94,271,"0⁰39'15"" RT",11.18963,77.5388,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5388 11.18963, 77.53954 11.18748)"
26,13,S,26,12-13,251.32087190376492,15.13,272,,11.18748,77.53954,GOOD,GOOD,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53954 11.18748, 77.54028 11.1852)"
27,14,T,28,13-14,264.9844944645316,15.92,276,"55⁰4'20"" LT",11.1852,77.54028,GOOD,GOOD,,TAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54028 11.1852, 77.54274 11.18445)"
28,15,S,26,14-15,281.3509690705228,11.57,274,,11.18445,77.54274,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54274 11.18445, 77.54499 11.18377)"
29,16,T,28,15-16,257.13988647283537,14.08,277,"33⁰4'15"" RT",11.18377,77.54499,GOOD,GOOD,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54499 11.18377, 77.54632 11.1822)"
30,17,S,26,16-17,226.53570849954585,12.68,280,,11.1822,77.54632,GOOD,GOOD,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54632 11.1822, 77.54781 11.18047)"
31,18,S,26,17-18,251.34623031322147,14.16,277,,11.18047,77.54781,GOOD,GOOD,11 KV,TAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54781 11.18047, 77.5492 11.17883)"
32,19,T,26,18-19,236.68675380595397,15.59,282,"26⁰14'41"" LT",11.17883,77.5492,GOOD,GOOD,400 KV DC,TAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5492 11.17883, 77.55147 11.17784)"
33,20,T,24,19-20,271.19218293589506,15.23,283,"5⁰40'36"" LT",11.17784,77.55147,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55147 11.17784, 77.55391 11.17705)"
34,21,T,24,20-21,280.6199253838882,14.05,278,"7⁰8'30"" RT",11.17705,77.55391,GOOD,GOOD,SUBSTATION FENCING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55391 11.17705, 77.55616 11.176)"
35,22,T,28,21-22,271.96729255981705,6.49,277,"61⁰10'36"" LT",11.176,77.55616,GOOD,,SUBSTATION INSIDE THE TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55616 11.176, 77.55623 11.17605)"
36,Periyandipalayam Gantry,T,20,22 - Gantry,9.441651487284973,,278,,11.17605,77.55623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH ,,,,,=SUM(F8:F42),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
