S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : T.NO 56/1 ,T ,DC,26,,,5.14,293,,77.64536111111111,10.974944444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64536111111111 10.974944444444445, 77.64583333333334 10.972666666666667)"
2,T.NO 2,T,DC,26,56/1-2,256.5345980564805,7.13,279,"15°34'17""",77.64583333333334,10.972666666666667,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64583333333334 10.972666666666667, 77.6456388888889 10.969972222222223)"
3,T.NO 3,T,DD,28,2-3,298.60509037858014,6.35,272,"53°18'30""",77.6456388888889,10.969972222222223,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6456388888889 10.969972222222223, 77.64375000000001 10.968777777777778)"
4,T.NO 4,T,DD,28,3-4,245.7478382407463,5.86,270,"56°2'50""",77.64375000000001,10.968777777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64375000000001 10.968777777777778, 77.64369444444445 10.967083333333333)"
5,T.NO 5,T,DD,28,4-5,189.02380802428036,6.7,271,"64°36'5""",77.64369444444445,10.967083333333333,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64369444444445 10.967083333333333, 77.64194444444445 10.966305555555556)"
6,T.NO 6,T,DD,28,5-6,209.88091861815357,4.15,273,"109°17'41""",77.64194444444445,10.966305555555556,GOOD,GOOD,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64194444444445 10.966305555555556, 77.64191666666667 10.96661111111111)"
7,GANTRY ( OLAPALAYAM SS ),T,GANTRY,15,6-GANTRY,33.13608305156178,,271,,77.64191666666667,10.96661111111111,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
