Tower No,JOINT BOX,Tower Type  (T/S),Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Ground Earth Available,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
T.NO-1 PONNAPURAM LILO,,T,DB,24,,,4.32,334,,77.39972222,10.69244444,GOOD,GOOD,,,NO,PLAIN LAND,"NEED JUNCTION BOX.2EARTH WIRE.1 WIRE CONTINUE TO OUR T.NO-02, ANOTHER EARTH WIRE CONNECT TO UDUMALAIPET - PONNAPURAM T.NO - 87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39972222222222 10.692444444444444, 77.39930555555556 10.693333333333333)"
T.NO-2,,T,DB,24,1 LILO-2,110.0227249,3.8,330,"5°55'57.20""",77.39930556,10.69333333,GOOD,GOOD,,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39930555555556 10.693333333333333, 77.39847222222222 10.694694444444444)"
T.NO-3,,S,DA,26,02-Mar,176.490793,4.12,370,,77.39847222,10.69469444,GOOD,GOOD,ELECTRIC FENCING 11KV,TAAR TOAD,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39847222222222 10.694694444444444, 77.39725 10.69663888888889)"
T.NO-4,,S,DA,26,03-Apr,252.491584,4.8,336,,77.39725,10.69663889,GOOD,GOOD,,,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39725 10.69663888888889, 77.39605555555556 10.698583333333334)"
T.NO-5,,S,DA,32,04-May,251.9622988,5.68,333,,77.39605556,10.69858333,GOOD,GOOD,"110KV DC LINE CROSSING BELOW OUR LINE,LT",,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39605555555556 10.698583333333334, 77.3948888888889 10.700444444444443)"
T.NO-6,,T,DB,24,05-Jun,240.8318916,5.24,334,"8°13'10.49""",77.39488889,10.70044444,GOOD,GOOD,,MUD ROAD,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3948888888889 10.700444444444443, 77.39425 10.70122222222222)"
T.NO-7,,T,DC,26,06-Jul,112.8051417,,333,"25°7'50.12""",77.39425,10.70122222,GOOD,GOOD,2nos 11KV,TAAR TOAD,NO,PLAIN LAND,HEAVEY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39425 10.70122222222222, 77.39383333333333 10.702694444444443)"
T.NO-8,,T,DD,28,07-Aug,167.8689965,,329,"46°21'42.56""",77.39383333,10.70269444,GOOD,GOOD,11KV,,NO,PLAIN LAND,HEAVEY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39383333333333 10.702694444444443, 77.39211111111112 10.703638888888888)"
T.NO-9,,T,DB,24,08-Sep,218.357505,4.53,329,"8°54'0.03""",77.39211111,10.70363889,GOOD,GOOD,"LT,11KV",CANAL,NO,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39211111111112 10.703638888888888, 77.38972222222223 10.7045)"
T.NO-10,,T,DC,26,09-Oct,278.0161866,1.8,330,"19°32'34.51""",77.38972222,10.7045,GOOD,GOOD,,MUD ROAD,YES,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38972222222223 10.7045, 77.38955555555556 10.7045)"
PONNAPURAM  GANTRY,2W,GANTRY,GANTRY,20,10-GANTRY,17,,331,,77.38955556,10.7045,GOOD,MISSING,,MUD ROAD,NO,SUBSTATION,"NO EARTH WIRE,GANTRY PONNAPURAM 110KV SS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
