S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO.133 SALAI LILO,T,DD,28,,,2.73,115,"75°37'11""",79.57580555555555,13.074472222222221,GOOD,GOOD,2 NOS LT,ROAD,CULTIVACTION,MOSUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57580555555555 13.074472222222221, 79.57575 13.074972222222222)"
2,DP1,DP,DP,15,133-DP1,57.3149195236284,,116,,79.57575,13.074972222222222,GOOD,MISSING,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57575 13.074972222222222, 79.57566666666666 13.07536111111111)"
3,DP2,DP,DP,15,DP1-DP2,42.2018956920184,,115,,79.57566666666666,13.07536111111111,GOOD,MISSING,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57566666666666 13.07536111111111, 79.57555555555555 13.075694444444444)"
4,DP3,DP,DP,15,DP2-DP3,40.2616442783948,,116,,79.57555555555555,13.075694444444444,GOOD,MISSING,230KV,,CULTIVACTION,230KV CROSSING ABOVE OUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57555555555555 13.075694444444444, 79.57541666666667 13.076083333333333)"
5,T.NO.134,T,DB,24,DP3-134,43.6577599058861,2.41,116,"5°4'38""",79.57541666666667,13.076083333333333,GOOD,MISSING,,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57541666666667 13.076083333333333, 79.57433333333333 13.078416666666666)"
6,T.NO.135,S,DA,26,134-135,285.524079544966,3.07,113,,79.57433333333333,13.078416666666666,GOOD,GOOD,LT,MUDROAD,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57433333333333 13.078416666666666, 79.57325 13.080555555555556)"
7,T.NO.136,S,DA,26,135-136,262.992395327317,3.69,114,,79.57325,13.080555555555556,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57325 13.080555555555556, 79.57211111111111 13.082916666666666)"
8,T.NO.137,S,DA,26,136-137,288.53076092507,4.48,117,,79.57211111111111,13.082916666666666,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57211111111111 13.082916666666666, 79.57119444444444 13.084777777777779)"
9,T.NO.138,T,DB,24,137-138,230.358416386291,4.03,117,"12°26'49""",79.57119444444444,13.084777777777779,GOOD,GOOD,LT,,CULTIVACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57119444444444 13.084777777777779, 79.57041666666666 13.085777777777778)"
10,T.NO.139,T,DC,26,138-139,137.611772752189,5.96,116,"23°40'29""",79.57041666666666,13.085777777777778,GOOD,GOOD,2 NOS HT,"CANAL,ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.57041666666666 13.085777777777778, 79.57002777777777 13.085972222222223)"
11,GANTRY 110KV SALAI SS,GT,GANTRY,15,139-GT,47.8852795752515,,119,,79.57002777777777,13.085972222222223,GOOD,GOOD,,,PLAIN,SALAI 110KV SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
