S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 110KV ILLIDU SS,T,GT,15,,,,15,,79.90036111111111,12.274222222222223,Yes,,GOOD,MISSING,,,PLAIN,110KV ILLEDU SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90036111111111 12.274222222222223, 79.90030555555556 12.274833333333333)"
2,T.NO 58 LILO CHEYYUR,T,DD,28,GT-58,69.264192663504,2.58,17,"78°13'29""",79.90030555555556,12.274833333333333,Yes,,GOOD,GOOD,,,PLAIN,CHEYYUR LILO NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.90030555555556 12.274833333333333, 79.89897222222223 12.275)"
3,T.NO 59,T,DD,28,58-59,146,3.42,18,"52°13'0""",79.89897222222223,12.275,,,GOOD,GOOD,"LT,HT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89897222222223 12.275, 79.89716666666668 12.273166666666668)"
4,T.NO 60,S,DA,26,59-60,280.315234099395,IN WATER,14,,79.89716666666668,12.273166666666668,,,GOOD,GOOD,LT,,CULTIVACTION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89716666666668 12.273166666666668, 79.89519444444446 12.271194444444445)"
5,T.NO 61,T,DC,26,60-61,307.897376984555,4.36,13,"27°12'21""",79.89519444444446,12.271194444444445,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89519444444446 12.271194444444445, 79.89441666666667 12.268638888888889)"
6,T.NO 62,S,DA,26,61-62,296.411577295136,5.16,12,,79.89441666666667,12.268638888888889,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89441666666667 12.268638888888889, 79.89372222222222 12.266444444444444)"
7,T.NO 63,T,DD,28,62-63,253.400475435368,2.36,6,"47°40'0""",79.89372222222222,12.266444444444444,,,GOOD,GOOD,"LT,HT",TAAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89372222222222 12.266444444444444, 79.89133333333334 12.265333333333333)"
8,T.NO 64,S,DA,26,63-64,290.862036148234,3.05,7,,79.89133333333334,12.265333333333333,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.89133333333334 12.265333333333333, 79.88902777777778 12.264277777777778)"
9,T.NO 65,T,DB,24,64-65,276.18175811634,2.21,8,"9°16'19""",79.88902777777778,12.264277777777778,,,GOOD,GOOD,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88902777777778 12.264277777777778, 79.88677777777778 12.263638888888888)"
10,T.NO 66,S,DA,26,65-66,255.120050369899,3.37,10,,79.88677777777778,12.263638888888888,,,GOOD,GOOD,2nos LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.88677777777778 12.263638888888888, 79.88441666666667 12.262944444444445)"
