S.No,Tower No.,JOIN BOX ,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY ( 230KV GPD SS ),2W,T,GT,15,,,,16,,80.10322222,13.40391667,GOOD,,,,PLAIN,230KV GDP SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10322222222221 13.403916666666667, 80.1031111111111 13.404416666666666)"
2,T.NO 1,,T,DD,28,GT-1,56.29387178,2.19,15,"62°4'18""",80.10311111,13.40441667,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1031111111111 13.404416666666666, 80.10422222222222 13.405305555555556)"
3,T.NO 2,,S,DA,26,01-????????,153.5252422,,14,,80.10422222,13.40530556,GOOD,GOOD,HT,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10422222222222 13.405305555555556, 80.10513888888889 13.40611111111111)"
4,T.NO 3,,T,DD,28,02-??????,136.0294086,3.68,13,"32°58'39""",80.10513889,13.40611111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10513888888889 13.40611111111111, 80.10580555555555 13.408305555555556)"
5,T.NO 4,,T,DB,24,03-??????,252.770647,,18,"12°47'31""",80.10580556,13.40830556,GOOD,GOOD,HT,MUD ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10580555555555 13.408305555555556, 80.10591666666666 13.41)"
6,T.NO 5,,S,DA,26,04-??,186.2686232,,15,,80.10591667,13.41,GOOD,GOOD,"HT,LT",ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10591666666666 13.41, 80.10605555555556 13.411944444444444)"
7,T.NO 6,,T,DB,24,05-????,215.7521726,,16,"4°45'7""",80.10605556,13.41194444,GOOD,GOOD,"HT,-2",ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10605555555556 13.411944444444444, 80.10638888888889 13.414055555555557)"
8,T.NO 6A SUNMAR LILO,3W,T,DD,28,6-6A,236.7530359,,14,"45°48'29""",80.10638889,13.41405556,GOOD,GOOD,,POND,WATER LOGGED,NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10638888888889 13.414055555555557, 80.10691666666666 13.414444444444445)"
9,T.NO 7,,T,DD,28,6A-7,72.42237223,4.61,3,"50°37'36""",80.10691667,13.41444444,GOOD,GOOD,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10691666666666 13.414444444444445, 80.10713888888888 13.417472222222221)"
10,T.NO 8,,T,DC,26,07-??????,335.788624,3.61,13,"26°38'25""",80.10713889,13.41747222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10713888888888 13.417472222222221, 80.10805555555555 13.418999999999999)"
11,T.NO 8A MC,,T,MD,45,8-8A,198.6001007,2.81,14,"30°34'5""",80.10805556,13.419,GOOD,GOOD,HT,ROAD,PLAIN,NEED JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10805555555555 13.418999999999999, 80.10805555555555 13.419194444444443)"
12,T.NO 9,,T,DD,28,8A-9,21,3.26,15,"49°45'49""",80.10805556,13.41919444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.10805555555555 13.419194444444443, 80.10794444444444 13.419305555555555)"
13,GANTRY ( 110KV SIPCOT-II SS ),2W,T,GT,15,9-GT,17.02938637,,16,,80.10794444,13.41930556,GOOD,MISSING,,,PLAIN,110KV SIPCOT-II SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
