S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 66 LILO SOTHUPERUMBEDU,T,DC,26,,,,,,80.17180555555557,13.264944444444444,GOOD,MISSING,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17180555555557 13.264944444444444, 80.1738888888889 13.263777777777777)"
2,T.NO 1 ,T,DD,28,66-1,254.678228358845,2.78,14,"57°37'21""",80.1738888888889,13.263777777777777,GOOD,GOOD,400KV CROSSING ABOVE,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1738888888889 13.263777777777777, 80.17402777777778 13.26061111111111)"
3,T.NO 2,T,DC,26,1-2,349.14323708186015,5.25,16,"16°52'50""",80.17402777777778,13.26061111111111,GOOD,GOOD,110KV CROSSING ABOVE WITH MULTI TOWER,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17402777777778 13.26061111111111, 80.17486111111111 13.258333333333333)"
4,T.NO 3,T,DB,24,2-3,271.31715758499314,4.46,17,"7°30'41""",80.17486111111111,13.258333333333333,GOOD,GOOD,"LT-2,HT,400kv CROSSING ABOVE",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17486111111111 13.258333333333333, 80.17605555555556 13.256027777777778)"
5,T.NO 4,T,DD,28,3-4,277.2814454665151,4.01,17,"31°42'29""",80.17605555555556,13.256027777777778,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17605555555556 13.256027777777778, 80.17591666666667 13.254111111111111)"
6,T.NO 5,T,DD,28,4-5,228.87551201471948,3.65,16,"86°58'54""",80.17591666666667,13.254111111111111,GOOD,GOOD,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.17591666666667 13.254111111111111, 80.1725 13.254194444444444)"
7,T.NO 6,T,DD,28,5-6,365.72393960472425,2.63,23,"86°53'16""",80.1725,13.254194444444444,GOOD,GOOD,"HT-2,LT-2",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.1725 13.254194444444444, 80.17244444444445 13.253777777777778)"
8,GANTRY (110KV SOTHUPERUMBEDU SS),T,GT,15,6-GT,48.010415536631214,,12,,80.17244444444445,13.253777777777778,GOOD,MISSING,,,PLAIN,,,Proposed for Diamond crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
