S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,JB Location,Earthing Location,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT 110KV KALIAMPOONDI SS,T,GT,15,,,,83,,79.71430555555555,12.640222222222222,Yes,,GOOD,MISSING,,,PLAIN,110KV KALIAMPOONDI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71430555555555 12.640222222222222, 79.71466666666667 12.640027777777778)"
2,T.NO 84,T,DD,28,GT-84,43.9089968002003,3.52,79,"45°11'16""",79.71466666666667,12.640027777777778,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71466666666667 12.640027777777778, 79.715 12.638805555555555)"
3,T.NO 83,T,DB,24,84-83,137.528178930719,2.18,79,"5°46'7""",79.715,12.638805555555555,,,GOOD,GOOD,HT-2,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.715 12.638805555555555, 79.71600000000001 12.636249999999999)"
4,T.NO 82,T,DC,26,83-82,305.36044275577,4.15,75,"25°14'33""",79.71600000000001,12.636249999999999,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71600000000001 12.636249999999999, 79.71583333333334 12.634166666666665)"
5,T.NO 81,S,DA,26,82-81,230.703272625249,4.18,71,,79.71583333333334,12.634166666666665,,,GOOD,GOOD,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71583333333334 12.634166666666665, 79.71566666666666 12.632111111111112)"
6,T.NO 80,S,DA,26,81-80,227.879354045074,4.32,71,,79.71566666666666,12.632111111111112,,,GOOD,GOOD,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71566666666666 12.632111111111112, 79.71552777777778 12.63011111111111)"
7,T.NO 79,S,DA,26,80-79,220.581050863396,3.21,70,,79.71552777777778,12.63011111111111,,,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71552777777778 12.63011111111111, 79.7153888888889 12.628)"
8,T.NO 78,S,DA,26,79-78,233.619348513774,2.15,83,,79.7153888888889,12.628,,,GOOD,GOOD,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7153888888889 12.628, 79.71516666666668 12.625972222222222)"
9,T.NO 77,T,DD,28,78-77,227.167339201744,3.17,80,"42°9'17""",79.71516666666668,12.625972222222222,,,GOOD,GOOD,,"ROAD-1 , POND",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71516666666668 12.625972222222222, 79.71330555555556 12.624222222222222)"
10,T.NO 76,T,DD,28,77-76,279.458404776095,3.58,77,"30°47'25""",79.71330555555556,12.624222222222222,,,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.71330555555556 12.624222222222222, 79.71263888888889 12.621944444444445)"
