S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( SP KOIL SS ),T,H-POLE,15,,,,54,,12.7441973704844,79.9970557820051,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9970557820051 12.7441973704844, 79.9968681111931 12.7438479289412)"
2,1,T,DC,28,Gantry  - 1,47.99017914947947,3.65,54,69°28'31''RT,12.7438479289412,79.9968681111931,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9968681111931 12.7438479289412, 79.9974079895764 12.7432320266962)"
3,2,T,DC,28,1 - 2,94.16495396977587,2.76,54.2652739999999,21°4'12''RT,12.7432320266962,79.9974079895764,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9974079895764 12.7432320266962, 79.9994810018688 12.7421439718455)"
4,3,T,DC,28,2 - 3,259.51491402217994,2.4,54.1825639999999,8°25'43''RT,12.7421439718455,79.9994810018688,GOOD,NO E/W,230KV,ROAD,PLAIN,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.9994810018688 12.7421439718455, 80.001395009458 12.7414750121533)"
5,4,T,DC,28,3 - 4,224.87892389650793,1.01,53.535282,143°8'33''LT,12.7414750121533,80.001395009458,GOOD,NO E/W,"230KV, HT, LT",ROAD,PLAIN,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.001395009458 12.7414750121533, 80.0037759728729 12.742229970172)"
6,5,S,DC,28,4 - 5,275.9477825798225,3.65,53.598557,,12.742229970172,80.0037759728729,GOOD,AVAILABLE,"HT -2, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0037759728729 12.742229970172, 80.0043979939073 12.7425069920718)"
7,LILO : 6A,T,DC,28,5 - 6A,78.45676841635212,0.49,52.3459239999999,9°49'44''LT,12.7425069920718,80.0043979939073,GOOD,AVAILABLE,110KV,,PLAIN,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0043979939073 12.7425069920718, 80.0062069762498 12.7429639734327)"
8,6,S,DC,28,6A - 6,207.09611989043924,0.71,51.414482,,12.7429639734327,80.0062069762498,GOOD,AVAILABLE,230KV,,PLAIN,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0062069762498 12.7429639734327, 80.0086269993335 12.7437890041619)"
9,7,S,DC,28,6 - 7,282.4297126659626,1.26,51.9615709999999,,12.7437890041619,80.0086269993335,GOOD,AVAILABLE,"400KV, HT, LT",MUD ROAD,PLAIN,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0086269993335 12.7437890041619, 80.0110569968819 12.7445550262928)"
10,8,S,DC,28,7 - 8,281.3872731717257,0.33,54.594166,,12.7445550262928,80.0110569968819,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0110569968819 12.7445550262928, 80.0134800374507 12.7453359682112)"
11,9,S,DC,28,8 - 9,281.1776025119769,1.5,54.6996919999999,,12.7453359682112,80.0134800374507,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0134800374507 12.7453359682112, 80.0158640183508 12.7460610028356)"
12,10,S,DC,28,9 - 10,275.2570706325975,4.21,55.9123609999999,,12.7460610028356,80.0158640183508,GOOD,AVAILABLE,400KV,,PLAIN,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0158640183508 12.7460610028356, 80.0184120330959 12.7468509972095)"
13,11,T,DC,28,10 - 11,294.39745992089064,3.6,55.4983369999999,0°28'24''LT,12.7468509972095,80.0184120330959,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0184120330959 12.7468509972095, 80.0208240095525 12.7475770376622)"
14,12,S,DC,28,11 - 12,278.1924854452928,0.21,53.856262,,12.7475770376622,80.0208240095525,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0208240095525 12.7475770376622, 80.0234270095825 12.748335013166)"
15,13,S,DC,28,12 - 13,299.066616514956,1.95,55.4632259999999,,12.748335013166,80.0234270095825,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0234270095825 12.748335013166, 80.0259450171142 12.7490390092134)"
16,14,S,DC,28,13 - 14,288.53848556111654,0.22,56.50222,,12.7490390092134,80.0259450171142,GOOD,NO E/W,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0259450171142 12.7490390092134, 80.0284510385245 12.7497399877756)"
17,15,S,DC,28,14 - 15,287.1946530450483,2.11,58.8256149999999,,12.7497399877756,80.0284510385245,GOOD,NO E/W,400KV,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0284510385245 12.7497399877756, 80.0309739913791 12.7504050079733)"
18,16,S,DC,28,15 - 16,287.90465275398606,1.71,61.7831419999999,,12.7504050079733,80.0309739913791,GOOD,AVAILABLE,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0309739913791 12.7504050079733, 80.0334749836474 12.7511230017989)"
19,17,S,DC,28,16 - 17,287.1902838034349,3.01,65.419739,,12.7511230017989,80.0334749836474,GOOD,AVAILABLE,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0334749836474 12.7511230017989, 80.0356609839946 12.751738987863)"
20,18,T,DC,28,17 - 18,251.2039885614536,2.09,68.690475,23°51'46''RT,12.751738987863,80.0356609839946,GOOD,AVAILABLE,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0356609839946 12.751738987863, 80.0377159751951 12.7534390054643)"
21,19,S,DC,28,18 - 19,296.0585066570654,0.94,60.106392,,12.7534390054643,80.0377159751951,GOOD,AVAILABLE,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0377159751951 12.7534390054643, 80.0398329924792 12.7552760671824)"
22,20,S,DC,28,19 - 20,311.05954071027725,1.73,55,,12.7552760671824,80.0398329924792,GOOD,AVAILABLE,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0398329924792 12.7552760671824, 80.0419565476477 12.7570552937686)"
23,21,S,DC,28,20 - 21,307.39895259169356,0.22,56,,12.7570552937686,80.0419565476477,GOOD,AVAILABLE,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0419565476477 12.7570552937686, 80.0440540350973 12.7587669622153)"
24,22,S,DC,28,21 - 22,300.4191884764268,2.63,55.6724239999999,,12.7587669622153,80.0440540350973,GOOD,AVAILABLE,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0440540350973 12.7587669622153, 80.0461879838258 12.7605570014566)"
25,23,S,DC,28,22 - 23,309.0308549061562,3.27,52.820892,,12.7605570014566,80.0461879838258,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0461879838258 12.7605570014566, 80.0482139736413 12.7623260021209)"
26,24,S,DC,28,23 - 24,298.6662765971223,1.15,52.6806869999999,,12.7623260021209,80.0482139736413,GOOD,AVAILABLE,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0482139736413 12.7623260021209, 80.050358986482 12.7641039714217)"
27,25,T,DC,28,24 - 25,309.0791696278324,0.53,54.464615,25°41'42''RT,12.7641039714217,80.050358986482,GOOD,AVAILABLE,LT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.050358986482 12.7641039714217, 80.0515310280025 12.7666580211371)"
28,26,S,DC,28,25 - 26,314.1067029216681,1.89,53.7929379999999,,12.7666580211371,80.0515310280025,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0515310280025 12.7666580211371, 80.0527329929172 12.7693099714815)"
29,27,S,DC,28,26 - 27,325.3160457685015,0.13,52.755375,,12.7693099714815,80.0527329929172,GOOD,AVAILABLE,LT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0527329929172 12.7693099714815, 80.0538929644972 12.7718739956617)"
30,28,S,DC,28,27 - 28,314.5776604271921,2.67,55.0980679999999,,12.7718739956617,80.0538929644972,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0538929644972 12.7718739956617, 80.0550859607756 12.7744729723781)"
31,29,S,DC,28,28 - 29,319.5696394554191,2.36,54.2525899999999,,12.7744729723781,80.0550859607756,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0550859607756 12.7744729723781, 80.0562389753758 12.7770079951733)"
32,30,S,DC,28,29 - 30,311.33914303537057,3.65,57.3040499999999,,12.7770079951733,80.0562389753758,GOOD,AVAILABLE,"400KV,  LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0562389753758 12.7770079951733, 80.0573929958045 12.7794819977134)"
33,31,T,DC,28,30 - 31,305.2340146896642,2.76,57.7567409999999,30°5'55''LT,12.7794819977134,80.0573929958045,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0573929958045 12.7794819977134, 80.0595149584114 12.7809619903564)"
34,32,S,DC,28,31 - 32,286.87555654250417,2.4,58.378933,,12.7809619903564,80.0595149584114,GOOD,AVAILABLE,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0595149584114 12.7809619903564, 80.062005976215 12.7826849743723)"
35,LILO : 33,T,DC,28,32 - LILO : 33,335.09924825892176,1.01,46.896008,133°41'54''RT,12.7826849743723,80.062005976215,GOOD,AVAILABLE,110KV,,PLAIN,DOWNLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.062005976215 12.7826849743723, 80.0622099917382 12.7826429810374)"
36,33/1A,T,H-POLE,15,LILO : 33 - 33/1A,26.927427435704363,3.65,47.2963829999999,42°15'3''LT,12.7826429810374,80.0622099917382,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0622099917382 12.7826429810374, 80.0620020367205 12.7829279657453)"
37,33/1B,T,H-POLE,15,33/1A - 33/1B,43.06846574802333,0.49,47.1828039999999,30°4'29''RT,12.7829279657453,80.0620020367205,GOOD,NO E/W,110KV,,PLAIN,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0620020367205 12.7829279657453, 80.0617639906704 12.783032990992)"
38,33/1,T,DC,28,33/1B - 33/1,32.630337930854154,0.71,48.776566,45°22'4''LT,12.783032990992,80.0617639906704,GOOD,NO E/W,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0617639906704 12.783032990992, 80.0608910154551 12.7853280398994)"
39,33/2,T,DC,28,33/1 - 33/2,275.24044806758934,1.26,50.264668,13°3'14''LT,12.7853280398994,80.0608910154551,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0608910154551 12.7853280398994, 80.0607170071452 12.7866030111908)"
40,33/3,T,DC,28,33/2 - 33/3,146.56950488507263,0.33,49.883564,61°8'43''RT,12.7866030111908,80.0607170071452,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0607170071452 12.7866030111908, 80.059913014993 12.7869129739701)"
41,33/4,T,DC,28,33/3 - 33/4,98.06278382931133,1.5,50.360916,61°39'51''LT,12.7869129739701,80.059913014993,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.059913014993 12.7869129739701, 80.0596260186284 12.7891680411994)"
42,33/5,T,DC,28,33/4 - 33/5,255.64553632355023,4.21,50.584637,11°41'39''LT,12.7891680411994,80.0596260186284,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0596260186284 12.7891680411994, 80.0597710255533 12.7910350263118)"
43,33/6,T,DC,28,33/5 - 33/6,211.38519457300993,3.6,52.0156819999999,9°52'7''RT,12.7910350263118,80.0597710255533,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0597710255533 12.7910350263118, 80.0596329756081 12.7924880292266)"
44,33/7,T,DC,28,33/6 - 33/7,165.69739422843426,0.21,53.7478219999999,13°13'13''LT,12.7924880292266,80.0596329756081,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0596329756081 12.7924880292266, 80.0598319619894 12.7939420379698)"
45,33/8,S,DC,28,33/7 - 33/8,166.55554422261912,1.95,51.069405,,12.7939420379698,80.0598319619894,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0598319619894 12.7939420379698, 80.0600389949977 12.7957520261406)"
46,33/9,T,DC,28,33/8 - 33/9,205.73982060908568,0.22,49.1089399999999,15°38'32''LT,12.7957520261406,80.0600389949977,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0600389949977 12.7957520261406, 80.0605539791285 12.7970160171389)"
47,33/10,T,DC,28,33/9 - 33/10,154.8571452652125,2.11,50.035946,14°17'48''LT,12.7970160171389,80.0605539791285,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0605539791285 12.7970160171389, 80.0615449715405 12.7983570378273)"
48,33/11,T,DC,28,33/10 - 33/11,187.51456798195835,1.71,50.333733,42°12'53''RT,12.7983570378273,80.0615449715405,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0615449715405 12.7983570378273, 80.0613120384514 12.8006700240075)"
49,33/12,S,DC,28,33/11 - 33/12,261.35972927384404,3.01,49.89547,,12.8006700240075,80.0613120384514,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0613120384514 12.8006700240075, 80.061170971021 12.8021820355206)"
50,33/13,S,DC,28,33/12 - 33/13,172.22612024733252,2.09,48.460625,,12.8021820355206,80.061170971021,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.061170971021 12.8021820355206, 80.0609169993549 12.8048449661582)"
51,33/14,S,DC,28,33/13 - 33/14,300.1041460484827,0.94,47.6955719999999,,12.8048449661582,80.0609169993549,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0609169993549 12.8048449661582, 80.0606719963252 12.807547962293)"
52,33/15,T,DC,28,33/14 - 33/15,304.42857956215425,1.73,50.571617,44°11'48''RT,12.807547962293,80.0606719963252,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0606719963252 12.807547962293, 80.0592439714819 12.8087729774415)"
53,33/16,S,DC,28,33/15 - 33/16,210.16333006694123,0.22,53.6673279999999,,12.8087729774415,80.0592439714819,GOOD,AVAILABLE,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0592439714819 12.8087729774415, 80.0577759649604 12.8099910356104)"
54,33/17,S,DC,28,33/16 - 33/17,212.95197161464807,2.63,54.8356629999999,,12.8099910356104,80.0577759649604,GOOD,AVAILABLE,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0577759649604 12.8099910356104, 80.056538041681 12.8110400307923)"
55,33/18,S,DC,28,33/17 - 33/18,181.81872560142565,3.27,57.3299099999999,,12.8110400307923,80.056538041681,GOOD,AVAILABLE,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.056538041681 12.8110400307923, 80.0552009604871 12.8122050315141)"
56,33/19,T,DC,28,33/18 - 33/19,198.36772407385524,1.15,59.3424869999999,8°28'18''LT,12.8122050315141,80.0552009604871,GOOD,AVAILABLE,,,FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0552009604871 12.8122050315141, 80.0539829861372 12.8136329725384)"
57,33/20,S,DC,28,33/19 - 33/20,210.25355847989644,0.53,55.4744829999999,,12.8136329725384,80.0539829861372,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0539829861372 12.8136329725384, 80.0527840387076 12.8150149807333)"
58,33/21,S,DC,28,33/20 - 33/21,205.03912252609535,1.89,53.120136,,12.8150149807333,80.0527840387076,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0527840387076 12.8150149807333, 80.0515629630535 12.8165190294384)"
59,33/22,T,DC,28,33/21 - 33/22,216.9857316151013,0.13,50.249184,28°39'21''RT,12.8165190294384,80.0515629630535,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0515629630535 12.8165190294384, 80.0494509749114 12.8173840418457)"
60,33/23,T,DC,28,33/22 - 33/23,252.68716644880715,2.67,48.424416,95°2'60''LT,12.8173840418457,80.0494509749114,GOOD,AVAILABLE,"HT, LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0494509749114 12.8173840418457, 80.0497490353882 12.817960968241)"
61,33/23A,T,H-POLE,15,33/23 - 33/23A,75.83964905966252,2.36,48.498184,14°14'52''LT,12.817960968241,80.0497490353882,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0497490353882 12.817960968241, 80.0500080361962 12.8182529937475)"
62,33/23B,T,H-POLE,15,33/23A - 33/23B,47.117557724749766,3.27,49.948017,25°11'55''LT,12.8182529937475,80.0500080361962,GOOD,NO E/W,230KV,,PLAIN,UPLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0500080361962 12.8182529937475, 80.0502900034189 12.8183740284293)"
63,33/24,T,DC,28,33/23B - 33/24,37.70268316799621,1.15,48.127949,50°49'27''RT,12.8183740284293,80.0502900034189,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0502900034189 12.8183740284293, 80.0506859645247 12.8197599761188)"
64,33/25,S,DC,28,33/24 - 33/25,163.49508849847822,0.53,48.6120409999999,,12.8197599761188,80.0506859645247,GOOD,AVAILABLE,"HT, LT","ROAD, CANAL",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0506859645247 12.8197599761188, 80.0512270163744 12.8216419648379)"
65,33/26,T,DC,28,33/25 - 33/26,220.57121485363518,1.89,49.338734,21°46'42''RT,12.8216419648379,80.0512270163744,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0512270163744 12.8216419648379, 80.0509250164031 12.8246469609439)"
66,33/27,T,DC,28,33/26 - 33/27,338.26264089431123,0.13,44.72451,38°12'58''LT,12.8246469609439,80.0509250164031,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0509250164031 12.8246469609439, 80.0511649902909 12.8250239789485)"
67,33/28,T,DC,28,33/27 - 33/28,53.46339659530181,2.67,43.184902,12°9'33''RT,12.8250239789485,80.0511649902909,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(80.0511649902909 12.8250239789485, 80.0512420199811 12.8252320177853)"
68,Gantry ( POTHERI SS ),T,H-POLE,15,33/28 - Gantry ,28.7806637276758,2.36,44.6320419999999,,12.8252320177853,80.0512420199811,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G73),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :  1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
