S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ,,,,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1," Gantry 
( Neyveli SS )",T,H-pole,15,,,,,,,111,,11.5988293290138,79.4454523734748,GOOD,,,,PLAIN,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4454523734748 11.5988293290138, 79.4451901875436 11.5988532174378)"
2,1,T,SC on DC,26, Gantry  - 1,29.964832863441327,22.4,14.1,9.1,77.7,103,12°2'51''LT,11.5988532174378,79.4451901875436,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4451901875436 11.5988532174378, 79.4442401826381 11.5991482604295)"
3,2,T,MC,45,1 - 2,109.87259662491341,19.1,11.9,5.5,80.8,103,83°0'45''LT,11.5991482604295,79.4442401826381,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4442401826381 11.5991482604295, 79.4438665173947 11.5970850549638)"
4,3,T,MC,45,2 - 3,233.0796919569855,14.45,8.2,1.8,62.9,99,45°43'16''LT,11.5970850549638,79.4438665173947,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4438665173947 11.5970850549638, 79.4435558840632 11.5968754235655)"
5,4,T,H-pole,15,3 - 4,42.302737360859915,18.8,11.65,5.2,79.7,98,12°21'10''RT,11.5968754235655,79.4435558840632,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4435558840632 11.5968754235655, 79.4433826301246 11.5966937039047)"
6,5,T,H-pole,15,4 - 5,28.837075817433345,22.75,4.7,9,84.9,99,25°58'59''LT,11.5966937039047,79.4433826301246,GOOD,NO E/W,230kV ,,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4433826301246 11.5966937039047, 79.4431356154382 11.596601922065)"
7,6,T,SC on DC,28,5 - 6,30.038282779230403,19.25,11,6.7,64,97,19°41'40''LT,11.596601922065,79.4431356154382,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4431356154382 11.596601922065, 79.4417693652212 11.5965854935348)"
8,7,S,SC on DC,28,6 - 7,150.26049232545714,17.6,10.15,4.8,68.5,95,179°2'19''RT,11.5965854935348,79.4417693652212,GOOD,Available,230kV ,,PLAIN,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4417693652212 11.5965854935348, 79.4390917662531 11.5965982340276)"
9,8,S,SC on DC,28,7 - 8,293.2650957557364,20.95,13.1,7.5,80,97,179°36'5''LT,11.5965982340276,79.4390917662531,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4390917662531 11.5965982340276, 79.4362767878919 11.5965920314192)"
10,9,T,SC on DC,28,8 - 9,308.24507020401813,20.75,12.75,7.5,76.1,96,44°32'24''RT,11.5965920314192,79.4362767878919,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.4362767878919 11.5965920314192, 79.4351915828883 11.5955193992704)"
