S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 92,T,DC,26,,,4.58,132.493102999999,,10.945777777777778,78.05711111111111,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05711111111111 10.945777777777778, 78.05830555555555 10.94675)"
2,92/1,T,DC,26,LILO : 92-92/1,172.04159637867556,1.7,133.719878999999,"3°1'33"" R",10.94675,78.05830555555555,GOOD,Available,LT-2No, Salem - Dindugal NH7,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.05830555555555 10.94675, 78.06 10.947972222222223)"
3,93/2,T,SC,22,92/1-93/2,229.56981399739817,1.22,133.466964999999,"15°55'33"" L",10.947972222222223,78.06,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06 10.947972222222223, 78.06122222222221 10.949527777777778)"
4,92/3,T,SC,22,93/2-92/3,216.38225446886094,3.76,133.588912999999,"0°19'25"" L",10.949527777777778,78.06122222222221,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06122222222221 10.949527777777778, 78.06258333333334 10.95125)"
5,92/4,S,SA,22,92/3-92/4,242.26326939884643,4.2,129.995421999999,,10.95125,78.06258333333334,GOOD,Available,,,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06258333333334 10.95125, 78.06377777777777 10.95272222222222)"
6,92/5,S,SA,22,92/4-92/5,207.62430224973184,0.78,130.359221999999,,10.95272222222222,78.06377777777777,GOOD,Available,"HT, LT",ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06377777777777 10.95272222222222, 78.06508333333333 10.954333333333333)"
7,92/6,S,SA,22,92/5-92/6,229.21742178613488,2.48,131.342743,,10.954333333333333,78.06508333333333,GOOD,Available,LT,ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06508333333333 10.954333333333333, 78.0663611111111 10.955944444444444)"
8,92/7,T,SC,22,92/6-92/7,226.77692581162884,3.07,132.177123999999,"1°20'38"" R",10.955944444444444,78.0663611111111,GOOD,Available,HT,,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0663611111111 10.955944444444444, 78.06741666666666 10.95722222222222)"
9,92/8,S,SA,22,92/7-92/8,183.9596686966509,NIL,134.848693999999,,10.95722222222222,78.06741666666666,GOOD,Available,"HT, LT",ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06741666666666 10.95722222222222, 78.06852777777777 10.958527777777777)"
10,92/9,S,SA,22,92/8-92/9,188.89287029758992,NIL,134.66127,,10.958527777777777,78.06852777777777,GOOD,Available,HT,ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06852777777777 10.958527777777777, 78.06977777777777 10.960166666666666)"
11,92/10,T,SC,22,92/9-92/10,226.64350137567712,3.05,136.63147,"16°4'46"" L",10.960166666666666,78.06977777777777,GOOD,Available,"HT, LT",ROAD,City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06977777777777 10.960166666666666, 78.06991666666666 10.960555555555555)"
12,Gantry (Karur SS),Gantry,H-POLE,12,92/10-Gantry,46.111721972955415,,136.374541999999,,10.960555555555555,78.06991666666666,GOOD,NO E/W,"LT -2No, 11O KV Pugalur - Mayanur",NH 67,SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
