S. No ,Tower No,Supspension/Tenion,,,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO-19 LILO,T,LILO,DC,32,,YES,,0.33,78,,79.12966666666667,10.769222222222224,GOOD,GOOD,NO,,,PLAIN LAND,LILO TO MANIMANDABAM & THANJAVUR URBAN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.12966666666667 10.769222222222224, 79.13063888888888 10.768805555555556)"
2,T.NO-21,T,DC,DC,32,LILO 19-21,YES,115.03912377969506,0.22,80,"21°25'2.92""",79.13063888888888,10.768805555555556,GOOD,GOOD,NO,,,PLAIN LAND,INSIDE COMPOUND WALL TAN TRANSCO SE OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13063888888888 10.768805555555556, 79.13316666666665 10.768694444444446)"
3,T.NO-22,T,DB,DC,30,21-22,YES,276.3059898011623,0.72,73,"2°22'58.39""",79.13316666666665,10.768694444444446,GOOD,GOOD,NO,"LT, 11KV",TAAR ROAD (SH),PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13316666666665 10.768694444444446, 79.13563888888889 10.768500000000001)"
4,T.NO-23,T,DB,DC,27,22-23,YES,271.0645679538364,0.94,70,"0°00'00.00""",79.13563888888889,10.768500000000001,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13563888888889 10.768500000000001, 79.13802777777778 10.76827777777778)"
5,T.NO-24,T,DB,DC,27,23-24,YES,263.28691574022434,,70,"1°8'53.33""",79.13802777777778,10.76827777777778,GOOD,GOOD,NO,11KV,2nosTAAR ROAD,PLAIN LAND,"INSIDE COMPOUND WALL. 2 EARTH WIRE. 1 E/W CONTINUE TO OUR T.NO-25, ANOTHER E/W CONNECT TO AYYAMPETTAI 11KV TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.13802777777778 10.76827777777778, 79.14069444444445 10.768083333333335)"
6,T.NO-25  NB TOWER,T,DB,DC,30,24-25,YES,291.9075196016711,,69,"3°57'46.39""",79.14069444444445,10.768083333333335,GOOD,GOOD,NO,"2nos LT, 11KV",2nosTAAR ROAD,PLAIN LAND,INSIDE TEA SHOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14069444444445 10.768083333333335, 79.1435 10.768083333333335)"
7,T.NO-26,T,DB,DC,27,25-26,YES,309.01456276363416,,69,"2°1'22.42""",79.1435,10.768083333333335,GOOD,GOOD,NO,,,PLAIN LAND,"OVER BUSHES, INSIDE COMPOUND WALL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.1435 10.768083333333335, 79.14655555555557 10.767972222222223)"
8,T.NO-27,T,DB,DC,27,26-27,YES,333.33766663850037,1.31,63,"1°52'35.24""",79.14655555555557,10.767972222222223,GOOD,GOOD,NO,3nos LT,2nosTAAR ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14655555555557 10.767972222222223, 79.14866666666667 10.767805555555556)"
9,T.NO-28,T,DB,DC,27,27-28,YES,231.70023737579555,1.81,64,"2°31'37.85""",79.14866666666667,10.767805555555556,GOOD,GOOD,NO,3nos LT,3nos STREET TAAR ROAD,PLAIN LAND, INSIDE COMPOUND WALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.14866666666667 10.767805555555556, 79.15138888888889 10.767750000000001)"
10,T.NO-29,T,DB,DC,27,28-29,YES,297.1683024819437,,61,"1°29'49.80""",79.15138888888889,10.767750000000001,GOOD,GOOD,NO,2nos LT,"TAAR ROAD, CEMENT ROAD",PLAIN LAND,OVER BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.15138888888889 10.767750000000001, 79.15397222222222 10.767611111111112)"
