S. No ,Tower No,Supspension/Tenion,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GT-ABAN 110KV SS,T,GT,15,,,,34,,79.53027777777778,11.121333333333334,GOOD,MISSING,,,PLAIN,110KV ABAN SS,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53027777777778 11.121333333333334, 79.53069444444445 11.12138888888889)"
2,T.NO 1,T,DD,28,GT-1,49.5077313425396,1.54,39,"31°54'57""",79.53069444444445,11.12138888888889,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53069444444445 11.12138888888889, 79.53169444444444 11.122222222222224)"
3,T.NO 2,T,DD,28,1-2,145.045131816386,-,32,"37°42'54""",79.53169444444444,11.122222222222224,GOOD,GOOD,,TAAR ROAD,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53169444444444 11.122222222222224, 79.53202777777777 11.123805555555556)"
4,T.NO 3,T,DC,26,2-3,177.912407705056,-,30,"18°5'24""",79.53202777777777,11.123805555555556,GOOD,GOOD,HT,DRAIN,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53202777777777 11.123805555555556, 79.53169444444444 11.126805555555556)"
5,T.NO 4,S,DA,26,3-4,334.839781931393,1.88,30,,79.53169444444444,11.126805555555556,GOOD,GOOD,LT,TAAR ROAD,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53169444444444 11.126805555555556, 79.53136111111111 11.129805555555556)"
6,T.NO 5,S,DA,26,4-5,335.834287372127,-,29,,79.53136111111111,11.129805555555556,GOOD,GOOD,LT,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53136111111111 11.129805555555556, 79.53097222222222 11.132861111111112)"
7,T.NO 6,T,DD,26,5-6,340.484903935359,-,28,"56°12'58""",79.53097222222222,11.132861111111112,GOOD,GOOD,,DRAIN,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.53097222222222 11.132861111111112, 79.52875 11.133944444444444)"
8,T.NO 7,S,DA,26,6-7,273.356384173384,-,29,,79.52875,11.133944444444444,GOOD,GOOD,,,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52875 11.133944444444444, 79.52666666666667 11.135027777777777)"
9,T.NO 8,T,DC,26,7-8,257.353271873015,-,34,"23°20'22""",79.52666666666667,11.135027777777777,GOOD,GOOD,LT,DRAIN,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52666666666667 11.135027777777777, 79.52541666666667 11.136583333333332)"
10,T.NO 9,T,DC,35,8-9,219.487985939731,5.08,34,"17°34'17""",79.52541666666667,11.136583333333332,GOOD,GOOD,"HT,LT",MUD ROAD,CULITIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52541666666667 11.136583333333332, 79.52469444444445 11.138416666666666)"
11,T.NO 10,S,DA,35,9-10,219.403296678416,3.97,34,,79.52469444444445,11.138416666666666,GOOD,GOOD,"HT,2nos LT","2nos TAAR ROAD,RIVER",CULITIVATION LAND,MANNI RIVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.52469444444445 11.138416666666666, 79.52386111111112 11.140749999999999)"
