S.No,Tower No.,Tower Suspension / Tension,JOINT BOX,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,,,,,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,joint_box,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : T.No.16,T,3W,KC(O),26,,,,63,,11.7334064,79.7053254,,,,,GOOD,,,,PLAIN,,,,,2W,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7053254023194 11.733406400308, 79.7053084671749 11.733427082664)"
2,T.NO 16/1,T,,KC(O),26,LILO : T.No.16 : T.NO 16/1,217,4.7,58,83°31'44''LT,11.73342708,79.70530847,,,,,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7053084671749 11.733427082664, 79.7039387734575 11.7320194557572)"
3,T.NO 16/2,T,,HC(O),28,T.NO 16/1 : T.NO 16/2,264,3.6,57,40°9'3''LT,11.73201946,79.70393877,,,,,GOOD,AVAILABLE,LT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7039387734575 11.7320194557572, 79.7015360185484 11.73178251786)"
4,T.NO 16/3,T,,HC(O),24,T.NO 16/2 : T.NO 16/3,303,4.1,54,2°11'47''LT,11.73178252,79.70153602,,,,,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.7015360185484 11.73178251786, 79.698765937899 11.731616219845)"
5,T.NO 16/4,T,,GC(O)+3,24,T.NO 16/3 : T.NO 16/4,249,5.3,56,8°3'53''RT,11.73161622,79.69876594,,,,,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.698765937899 11.731616219845, 79.6965385357154 11.7311630451869)"
6,T.NO 16/5,S,,GC(O)+3,26,T.NO 16/4 : T.NO 16/5,265,3.6,59,,11.73116305,79.69653854,,,,,GOOD,AVAILABLE,HT-1,,PLAIN,,KCR,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6965385357154 11.7311630451869, 79.6941455713542 11.7307995116917)"
7,T.NO 16/6,S,,HC(O),26,T.NO 16/5 : T.NO 16/6,229,4.5,60,,11.73079951,79.69414557,,,,,GOOD,AVAILABLE,,ROAD-1,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6941455713542 11.7307995116917, 79.6920827791254 11.7304645934047)"
8,T.NO 16/7,T,,HC(O),24,T.NO 16/6 : T.NO 16/7,273,2.9,63,8°7'47''LT,11.73046459,79.69208278,,,,,GOOD,AVAILABLE,LT-1,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6920827791254 11.7304645934047, 79.6895874150516 11.7304170026326)"
9,T.NO 16/8,T,,KC(O)+3,24,T.NO 16/7 : T.NO 16/8,231,4.3,54,14°51'43''RT,11.730417,79.68958742,,,,,GOOD,AVAILABLE,,ROAD-1,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6895874150516 11.7304170026326, 79.6875624874648 11.7298381091377)"
10,T.NO 16/9,T,,KC(O)+6,28,T.NO 16/8 : T.NO 16/9,263,4.1,56,39°0'59''RT,11.72983811,79.68756249,,,,,GOOD,AVAILABLE,HT-1,,PLAIN,,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6875624874648 11.7298381091377, 79.6861954750228 11.7278879382265)"
11,T.NO 16/10,T,,GC(O)+3,28,T.NO 16/9 : T.NO 16/10,233,5.3,45,33°32'48''RT,11.72788794,79.68619548,,,,,GOOD,AVAILABLE,,,PLAIN,,PB+3,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.6861954750228 11.7278879382265, 79.6861411745119 11.7257900920392)"
