S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Longitude,Latitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO-206 LILO 110KV M.PARUR,DB,T,26,,,4.71,61,"00°00'00""",79.293023,11.55456,GOOD,GOOD,,,CULTIVATION,JOINT BOX ALREADY MENSTIONED IN 110KV VEPUR TO 110KV M.PARUR LINE,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.293023 11.55456, 79.294722 11.556992)"
2,T.NO-207,DA,S,24,206 LILO -207,326.791982765796,6.84,70,,79.294722,11.556992,GOOD,GOOD,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.294722 11.556992, 79.29635 11.559289)"
3,T.NO-208,DA,S,24,207-208,309.919344346235,3.56,71,,79.29635,11.559289,GOOD,GOOD,2nos LT,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.29635 11.559289, 79.297811 11.561684)"
4,T.NO-209,DA,S,24,208-209,309.219986417437,15.86,70,,79.297811,11.561684,GOOD,GOOD,"11KV,2nos LT","TAAR ROAD,MUDROAD",PLAIN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.297811 11.561684, 79.299649 11.563982)"
5,T.NO-210,DC,T,28,209-210,323.748359069201,,69,"20°45'21""",79.299649,11.563982,GOOD,GOOD,"11KV,LT",,CULTIVATION,SUGARCAN CULTIVATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.299649 11.563982, 79.302271 11.565534)"
6,T.NO-211,DA,S,24,210-211,333.57008259135,15.86,69,,79.302271,11.565534,GOOD,GOOD,11KV,,PLAIN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.302271 11.565534, 79.304911 11.567104)"
2,T.NO-212,DA,S,24,211-212,336.310868096766,15.46,62,,79.304911,11.567104,GOOD,GOOD,LT,"TAAR ROAD,NALA",PLAIN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.304911 11.567104, 79.307734 11.56883)"
8,T.NO-213 TAPPING RAILWAY FEEDER,DA,S,24,212-213,362.218166303127,,69,,79.307734,11.56883,GOOD,GOOD,11KV ,"TAAR ROAD,MUDROAD",CULTIVATION,"NEED 3WAY JUNCTION BOX,SUGARCAN CULTIVATE",2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.307734 11.56883, 79.310283 11.570327)"
9,T.NO-214,DA,S,24,213-214,323.630962671992,9.02,68,,79.310283,11.570327,GOOD,GOOD,110KV DC LINE CROSSING BELOW,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.310283 11.570327, 79.312767 11.571824)"
10,T.NO-215,DA,S,24,214-215,317.616120497685,,68,,79.312767,11.571824,GOOD,GOOD,11KV,,CULTIVATION,SUGARCAN CULTIVATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.312767 11.571824, 79.315344 11.573376)"
11,T.NO-216 LILO 110KV KO POOVANUR,DB,T,26,215-216 LILO,329.27799805028,7,68,,79.315344,11.573376,GOOD,GOOD,,,PLAIN ,NEED 3WAY JUNCTION BOX,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
