Tower No,Tower Type,Tower Type(T/S),Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
Gantry Perambalur ,Gantry ,T,20,,,,127.586487,,11.239083375988056,78.8920438121862,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8920438121862 11.239083375988056, 78.8917508124587 11.239068376242795)"
1,SC,T,26,Gantry-1,32.046,,129.537842,"27°6'53""RT",11.239068376242795,78.8917508124587,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8917508124587 11.239068376242795, 78.88994981355043 11.23986537913081)"
2,SD,T,28,1-2,215.578,13.12,140.3414,"60°18'33""RT",11.23986537913081,78.88994981355043,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88994981355043 11.23986537913081, 78.88972981376794 11.24210237181832)"
3,SB,T,24,2-3,248.675,1.75,144.684326,"9°20'9""RT",11.24210237181832,78.88972981376794,GOOD,GOOD,"LT-1,HT-1",ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88972981376794 11.24210237181832, 78.88991881308027 11.244918374577622)"
4,SC,T,26,3-4,312.259,2.33,146.769638,"15°39'28""RT",11.244918374577622,78.88991881308027,GOOD,GOOD,LT-4,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88991881308027 11.244918374577622, 78.89083881269778 11.247490370895267)"
5,SD,T,28,4-5,301.798,3.98,144.987106,"37°43'56""RT",11.247490370895267,78.89083881269778,GOOD,GOOD,LT-2,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89083881269778 11.247490370895267, 78.89270181208721 11.24867237359061)"
6,SA,S,26,5-6,241.886,4.34,142.945389,,11.24867237359061,78.89270181208721,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89270181208721 11.24867237359061, 78.89449081033838 11.249815376725083)"
7,SD,T,28,6-7,232.754,3.45,141.21106,"37°43'56""RT",11.249815376725083,78.89449081033838,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89449081033838 11.249815376725083, 78.89575780947605 11.249762369755262)"
8,SD,T,28,7-8,138.508,5.1,139.990936,"35°14'44""RT",11.249762369755262,78.89575780947605,GOOD,GOOD,,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89575780947605 11.249762369755262, 78.89696180941698 11.249645373305006)"
9,SB,T,24,8-9,132.139,4.8,142.326523,"1°37'53""RT",11.249645373305006,78.89696180941698,GOOD,GOOD,"LT-2,HT-2",ROAD-1,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89696180941698 11.249645373305006, 78.89952480736625 11.249316374877646)"
10,SA,S,26,9-10,282.292,8.4,140.269745,,11.249316374877646,78.89952480736625,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89952480736625 11.249316374877646, 78.90174480627688 11.249044377908804)"
11,SB,T,24,10-11,244.333,6.2,138.122879,"1°30'40""RT",11.249044377908804,78.90174480627688,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90174480627688 11.249044377908804, 78.90256680539093 11.24894837872735)"
12(DP1),SB,T,26,11-12,90.406,,137.350983,,11.24894837872735,78.90256680539093,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90256680539093 11.24894837872735, 78.90301180506506 11.248876372947102)"
13(DP2),SB,T,26,12-13,49.252,,135.349792,,11.248876372947102,78.90301180506506,GOOD,GOOD, line crossing,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90301180506506 11.248876372947102, 78.90390980475742 11.24880537223548)"
14,SB,T,24,13-14,98.395,7.95,137.182785,"3°48'30""RT",11.24880537223548,78.90390980475742,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90390980475742 11.24880537223548, 78.90610980350793 11.248483372446405)"
15,SA,S,26,14-15,242.915,6.75,138.667953,,11.248483372446405,78.90610980350793,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90610980350793 11.248483372446405, 78.90830780186421 11.248165372494459)"
16,SA,S,26,15-16,242.634,7.95,142.973831,,11.248165372494459,78.90830780186421,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.90830780186421 11.248165372494459, 78.91081380015402 11.247800377945925)"
17,SC,T,26,16-17,276.673,9.15,134.916885,"11°35'38""RT",11.247800377945925,78.91081380015402,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91081380015402 11.247800377945925, 78.91303479917585 11.24701137345929)"
18,SA,S,26,17-18,257.811,8.85,133.031174,,11.24701137345929,78.91303479917585,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91303479917585 11.24701137345929, 78.91529879770951 11.246190375851503)"
19,SB,T,24,18-19,263.435,7.1,134.359558,"2°56'37""RT",11.246190375851503,78.91529879770951,GOOD,GOOD,HT-1,ROAD-1,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91529879770951 11.246190375851503, 78.91758779609424 11.24523937312576)"
20,SA,S,26,19-20,271.249,9.25,135.29306,,11.24523937312576,78.91758779609424,GOOD,GOOD,HT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.91758779609424 11.24523937312576, 78.920099794862 11.24416937414086)"
21,SA,S,26,20-21,298.819,7.65,136.397522,,11.24416937414086,78.920099794862,GOOD,GOOD,,ROAD,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.920099794862 11.24416937414086, 78.92265079278607 11.24311638000585)"
22,SA,S,26,21-22,302.004,,136.363037,,11.24311638000585,78.92265079278607,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92265079278607 11.24311638000585, 78.92517679134805 11.242065373703225)"
23,SA,S,26,22-23,299.402,6.35,133.245621,,11.242065373703225,78.92517679134805,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92517679134805 11.242065373703225, 78.92768679000889 11.24101737666433)"
24,SD,T,28,23-24,297.663,6.45,129.780609,"45°53'35""RT",11.24101737666433,78.92768679000889,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92768679000889 11.24101737666433, 78.92882778907212 11.2380753775339)"
25,SA,S,26,24-25,348.55,6.7,127.238037,,11.2380753775339,78.92882778907212,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92882778907212 11.2380753775339, 78.92980978827563 11.235593374859835)"
26,SA,S,26,25-26,294.817,8.48,130.947754,,11.235593374859835,78.92980978827563,GOOD,GOOD,HT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92980978827563 11.235593374859835, 78.93079678819046 11.233092374676135)"
27,SC,T,26,26-27,296.974,7.2,134.133682,"13°59'12""RT",11.233092374676135,78.93079678819046,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93079678819046 11.233092374676135, 78.93113678825269 11.230431378536935)"
28,SD,T,28,27-28,296.75,6.8,126.114395,"51°21'14""LT",11.230431378536935,78.93113678825269,GOOD,GOOD,LT-1,ROAD-1,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93113678825269 11.230431378536935, 78.93325378617209 11.229147374681496)"
29,SA,S,26,28-29,271.388,8.65,129.655807,,11.229147374681496,78.93325378617209,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93325378617209 11.229147374681496, 78.93550578549514 11.227791375125125)"
30,SA,S,26,29-30,288.124,7.43,129.197784,,11.227791375125125,78.93550578549514,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93550578549514 11.227791375125125, 78.93765778370692 11.226490375538175)"
31,SA,S,26,30-31,275.631,8.22,127.663582,,11.226490375538175,78.93765778370692,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93765778370692 11.226490375538175, 78.93977478234277 11.225204380952304)"
32,SA,S,26,31-32,271.505,8.43,127.134399,,11.225204380952304,78.93977478234277,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93977478234277 11.225204380952304, 78.94193278090076 11.22390838347015)"
33,SA,S,26,32-33,275.903,9.1,126.432533,,11.22390838347015,78.94193278090076,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94193278090076 11.22390838347015, 78.94408077984276 11.222623379143975)"
34,SA,S,26,33-34,274.338,8.05,123.20253,,11.222623379143975,78.94408077984276,GOOD,GOOD,,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94408077984276 11.222623379143975, 78.94621877882263 11.221318384391399)"
35,SA,S,26,34-35,274.562,6.95,123.44857,,11.221318384391399,78.94621877882263,GOOD,GOOD,HT-1,ROAD-1,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94621877882263 11.221318384391399, 78.94850877705207 11.219953380015578)"
36,SA,S,26,35-36,292.192,4.35,120.173485,,11.219953380015578,78.94850877705207,GOOD,GOOD,LT-1,,PLAIN,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94850877705207 11.219953380015578, 78.94925577720079 11.219487379132936)"
35lilo,DD,T,28,36-35LILO,96.519,3.9,121.001518,"54°22'3""LT",11.219487379132936,78.94925577720079,GOOD,GOOD,,,PLAIN,lilo to koothur ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94925577720079 11.219487379132936, 78.94910277668625 11.221558380988808)"
1,DB,T,24,35LILO-1,229.745,5.4,122.337402,"3°2'20""LT",11.221558380988808,78.94910277668625,GOOD,GOOD,LT-2,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94910277668625 11.221558380988808, 78.94891977741351 11.222986377007615)"
2,DC,T,26,1-2,159.254,4.1,124.384758,"11°36'37""RT",11.222986377007615,78.94891977741351,GOOD,GOOD,HT-1,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94891977741351 11.222986377007615, 78.94905577675851 11.224731378230121)"
3,DC,T,26,2-3,193.638,1.8,124.030479,"21°50'16""LT",11.224731378230121,78.94905577675851,GOOD,GOOD,,,PLAIN,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94905577675851 11.224731378230121, 78.94897177680176 11.224995383576104)"
Gantry Peralai,Gantry ,T,20,3-Gantry,30.616,,119.865555,,11.224995383576104,78.94897177680176,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,=SUM(F8:F48),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
