Tower No,Tower Type,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span length             (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation/ M,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
SANGARAPURAM GANTRY,T,T,20,,,,,155,,11.869798653038961,78.92801878399474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92801878399474 11.869798653038961, 78.92842578831784 11.869779230613535)"
55,T,T,24,GANTRY - 55,,44,6.33,157.35,,11.869779230613535,78.92842578831784,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92842578831784 11.869779230613535, 78.92933578760433 11.869030228063787)"
54,SD,T,28,55-54,,129.2409,8.52,156.29," 55d9'12""LT",11.869030228063787,78.92933578760433,GOOD,GOOD,HT-3,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92933578760433 11.869030228063787, 78.92915078797773 11.866963231576772)"
53,SA,S,26,54-53,,229.5932,8.07,160.14,,11.866963231576772,78.92915078797773,GOOD,GOOD,"LT-1,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92915078797773 11.866963231576772, 78.92871378870952 11.863998223890102)"
52,SA,S,26,53-52,,331.5015,6.7,154.28,,11.863998223890102,78.92871378870952,GOOD,GOOD,LT-4,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92871378870952 11.863998223890102, 78.92840578842082 11.861837226147946)"
51,SA,S,26,52-51,,241.428,,151.77,,11.861837226147946,78.92840578842082,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92840578842082 11.861837226147946, 78.92817478874757 11.860062228184999)"
50,SA,S,26,51-50,,198.0164,5.32,152.41,,11.860062228184999,78.92817478874757,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92817478874757 11.860062228184999, 78.92858978841302 11.858237225948333)"
49,SA,S,26,50-49,,206.9335,8.88,148.62,,11.858237225948333,78.92858978841302,GOOD,GOOD,LT-1.,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92858978841302 11.858237225948333, 78.92918378765488 11.856009233485143)"
48,SA,S,26,49-48,,254.8781,3.18,149.66,,11.856009233485143,78.92918378765488,GOOD,GOOD,,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92918378765488 11.856009233485143, 78.92977278796627 11.85337923454742)"
47,SA,S,26,48-47,,297.9964,6.55,148.38,,11.85337923454742,78.92977278796627,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92977278796627 11.85337923454742, 78.9312517871591 11.851541233583049)"
46,SD,T,28,47-46,,259.5018,4.09,146.97,"33d46'34""LT",11.851541233583049,78.9312517871591,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9312517871591 11.851541233583049, 78.93144278639315 11.849238233692086)"
45,SA,S,26,46-45,,255.6675,6.81,146.49,,11.849238233692086,78.93144278639315,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93144278639315 11.849238233692086, 78.93160478667247 11.847242233503124)"
44,SC,T,26,45-44,,221.5548,4.38,144.48,"25d17'37""LT",11.847242233503124,78.93160478667247,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93160478667247 11.847242233503124, 78.93083878712982 11.84524222955106)"
43,SA,S,26,44-43,,236.5174,,146.74,,11.84524222955106,78.93083878712982,GOOD,GOOD,"LT-1,110KV",ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93083878712982 11.84524222955106, 78.93008378718199 11.843356230014448)"
42,SA,S,26,43-42,,224.317,,149.41,,11.843356230014448,78.93008378718199,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93008378718199 11.843356230014448, 78.92910478821928 11.840898237992418)"
41,SA,S,26,42-41,,292.1504,3.63,148.75,,11.840898237992418,78.92910478821928,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92910478821928 11.840898237992418, 78.92801178858792 11.838398234239703)"
40,SA,S,26,41-40,,301.178,4.82,151.66,,11.838398234239703,78.92801178858792,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92801178858792 11.838398234239703, 78.92696978952593 11.83602623718454)"
39,SC,T,26,40-39,,285.9719,7.02,149.89," 22d1'14""RT",11.83602623718454,78.92696978952593,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92696978952593 11.83602623718454, 78.926922789203 11.833347236707306)"
38,SA,S,26,39-38,,296.4613,,147.22,,11.833347236707306,78.926922789203,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.926922789203 11.833347236707306, 78.92684578925254 11.830755233666173)"
37,SB,T,24,38-37,,286.9137,6.83,146.11," 3d46'56""LT",11.830755233666173,78.92684578925254,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92684578925254 11.830755233666173, 78.92666178993574 11.828714238530303)"
36,SA,S,26,37-36,,226.7178,,145.45,,11.828714238530303,78.92666178993574,GOOD,GOOD,,CAR TRACK,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92666178993574 11.828714238530303, 78.92647279022793 11.826646237402434)"
35,SB,T,24,36-35,,229.7426,4.58,145.28," 13d1'53""RT",11.826646237402434,78.92647279022793,GOOD,GOOD,,,PLAIN,_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92647279022793 11.826646237402434, 78.92674778927994 11.824726236105564)"
34,SA,S,26,35-34,,214.5456,3.49,142.24,,11.824726236105564,78.92674778927994,GOOD,GOOD,110KV C,,PLAIN,E.wire V TYPEcrossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92674778927994 11.824726236105564, 78.92696178992597 11.823184237990034)"
33,SB,T,24,34-33,,172.2038,3.78,144.81," 12d41'55""LT",11.823184237990034,78.92696178992597,GOOD,GOOD,LT-2,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92696178992597 11.823184237990034, 78.92672578933382 11.820453242084668)"
32,SA,S,26,33-32,,303.2684,2.93,145.69,,11.820453242084668,78.92672578933382,GOOD,GOOD,"LT-1,HT-1",,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92672578933382 11.820453242084668, 78.92650979018106 11.817771242998909)"
31,SA,S,26,32-31,,297.6829,4.67,140.22,,11.817771242998909,78.92650979018106,GOOD,GOOD,LT-1,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92650979018106 11.817771242998909, 78.92626979009484 11.815027239437232)"
30,SA,S,26,31-30,,304.7382,7.39,142.93,,11.815027239437232,78.92626979009484,GOOD,GOOD,LT-1,CANAL,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92626979009484 11.815027239437232, 78.92606079009065 11.81251623717098)"
29,SA,S,26,30-29,,278.8082,2.75,143.45,,11.81251623717098,78.92606079009065,GOOD,GOOD,LT-2,ROAD,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92606079009065 11.81251623717098, 78.92580779015348 11.809752237102048)"
28,SA,S,26,29-28,,307.0306,6.29,145.36,,11.809752237102048,78.92580779015348,GOOD,GOOD,,,PLAIN,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92580779015348 11.809752237102048, 78.92559879007906 11.807126243978527)"
27 lilo,SC,T,26,28-27,,291.4327,1.15,145.65," 28d35'43""RT",11.807126243978527,78.92559879007906,GOOD,GOOD,,,PLAIN,LILO POINT TO KALLAKURICHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92559879007906 11.807126243978527, 78.9272257889292 11.807726243040666)"
2,SC,T,26,27-2,,189.3686,4.45,147.05," 28d35'43""LT",11.807726243040666,78.9272257889292,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9272257889292 11.807726243040666, 78.92980878808739 11.807364240323656)"
3,SA,S,26,2-3,,284.393,3.32,143.29,,11.807364240323656,78.92980878808739,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.92980878808739 11.807364240323656, 78.93181278650412 11.807085243234448)"
4,SB,T,24,3-4,,220.615,7.58,143.29,"5d58'27""LT",11.807085243234448,78.93181278650412,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93181278650412 11.807085243234448, 78.93446578510077 11.80643124212525)"
5,SC,T,26,4-5,,298.1046,9.61,142.2," 26d5'30""RT",11.80643124212525,78.93446578510077,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93446578510077 11.80643124212525, 78.93668778318879 11.806898243835038)"
6,SB,T,24,5-6,,247.6577,6.27,138.09,"10d3'5""RT",11.806898243835038,78.93668778318879,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93668778318879 11.806898243835038, 78.93886578198968 11.80776923913225)"
7,SB,T,24,6-7,,256.2249,2.63,143.98," 14d43'19""RT",11.80776923913225,78.93886578198968,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.93886578198968 11.80776923913225, 78.94002978189776 11.808615244234705)"
8,SA,S,26,7-8,,157.6691,5.54,141.78,,11.808615244234705,78.94002978189776,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94002978189776 11.808615244234705, 78.94150478038709 11.809715238501308)"
9,SC,T,26,8-9,,201.648,8.92,144.65," 27d26'38""RT",11.809715238501308,78.94150478038709,GOOD,GOOD,,,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.94150478038709 11.809715238501308, 78.9418747802076 11.810471238522593)"
10,SC,T,26,9-10,,92.8631,4.52,141.8,"23d28'40""RT",11.810471238522593,78.9418747802076,GOOD,GOOD,HT-1,ROAD,PLAIN,D/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.9418747802076 11.810471238522593, 78.94188878098247 11.810820238792367)"
GANTRY ALAGAPURAM,GANTRY,T,20,10-GA,,38.6454,,143.19,,11.810820238792367,78.94188878098247,GOOD,GOOD,,,PLAIN,ALAGAPURAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
