,Tower No,Tower Type & Supspension/Tenion,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,AVAILABLITY OF ROAD,Span length (As per tower schedule) ,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY PUDUKOTTAI OLD,GANTRY,T,20,,YES,,,,,,78.7985,10.373472222222222,,NO EARTH WIRE,,,,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.7985 10.373472222222222, 78.79858333333333 10.373444444444445)"
3,T.NO.14,T,DD,28,GANTRY -14,YES,,12.529964086141668,2.67,90,"145°10'31.84""",78.79858333333333,10.373444444444445,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79858333333333 10.373444444444445, 78.79838888888888 10.373833333333334)"
4,T.NO.15,T,DD,28,14-15,YES,,51.42956348249516,3.16,95,"47°53'50.33""",78.79838888888888,10.373833333333334,GOOD,GOOD,"LT LINE-1,11KV LINE CROSSING", TAR ROAD CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79838888888888 10.373833333333334, 78.79897222222222 10.375388888888889)"
5,T.NO.16,S,DA,26,15-16,YES,,181.43042743707574,1.91,89,,78.79897222222222,10.375388888888889,GOOD,GOOD,33KV-1 LINE CROSSING,,WATER LOGEED ,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79897222222222 10.375388888888889, 78.79955555555556 10.376916666666666)"
6,T.NO.17,T,DC,26,16-17,YES,,182.72657168567466,1.11,91,"21°35'3.50""",78.79955555555556,10.376916666666666,GOOD,GOOD,"11KV TRANSFORMER,LT LINE -1 CROSSING",CEMENT ROADCROSSING,WATER LOGEED ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.79955555555556 10.376916666666666, 78.80180555555555 10.379333333333333)"
7,T.NO.18,T,DB+9,33,17-18,NO,,361.53146474408004,5.91,93,"4°47'48.08""",78.80180555555555,10.379333333333333,GOOD,GOOD,,RAILWAY ROAD CROSSING(NON-ELECTRICAL),PLAIN LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80180555555555 10.379333333333333, 78.80275 10.380166666666668)"
8,T.NO.19,T,DB,24,18-19,NO,,140.18559127100045,2.19,96,"8°9'54.60""",78.80275,10.380166666666668,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80275 10.380166666666668, 78.80327777777778 10.380833333333333)"
9,T.NO.20,T,DD,28,19-20,YES,,92.31467922275417,1.98,96,"54°21'34.25""",78.80327777777778,10.380833333333333,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80327777777778 10.380833333333333, 78.80366666666666 10.380805555555556)"
10,T.NO.21,T,DD+6,34,20-21,YES,,42.1070065428546,3.19,98,"81°4'16.55""",78.80366666666666,10.380805555555556,GOOD,GOOD,"LT LINE-1,11KV LINE CROSSING"," TAR ROAD,POND CROSSING",PLAIN LAND,TOWER COVERED WITH BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80366666666666 10.380805555555556, 78.80411111111111 10.382722222222222)"
11,T.NO.22,T,DB,24,21-22,YES,,217.5890622251036,1.99,99,"3°47'4.08""",78.80411111111111,10.382722222222222,GOOD,GOOD,11KV-1 LINE CROSSING, TAR ROAD-2 CROSSING,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80411111111111 10.382722222222222, 78.80433333333333 10.384166666666665)"
12,T.NO.23,T,DD,28,22-23,YES,,162.09873534361705,2.57,100,"68°15'58.07""",78.80433333333333,10.384166666666665,GOOD,GOOD,,,PLAIN LAND,NO EARTH WIRE CONNECTING TO GANTRY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80433333333333 10.384166666666665, 78.80413888888889 10.384277777777777)"
13,GANTRY PUDUKOTTAI URBAN,GANTRY,T,20,23-GANTRY,,,23.323807579381203,,,,78.80413888888889,10.384277777777777,GOOD,NO EARTH WIRE,,,PLAIN LAND,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,=SUM(I8:I18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
