,Tower No, Supspension/Tenion,Type,Curcuit,Tower Hight (Mtrs),Span Between Tower No.,AVILABILTY OF ROAD,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,joint_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,T.NO 88/1 LILO,T,GANTRY,LILO,31,,NO,,1.67,16,,79.65311111111112,10.965722222222222,GOOD,GOOD,NO,,,CULTIVATION LAND,,2W,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65311111111112 10.965722222222222, 79.65302777777778 10.967027777777778)"
2,T.NO-89,T,SB,SC,24,88/1 LILO - 89,NO,147.16657229140046,1.23,16,"6°30'39""",79.65302777777778,10.967027777777778,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65302777777778 10.967027777777778, 79.65319444444445 10.96936111111111)"
3,T.NO 90,S,SA,SC,26,89-90,NO,257.5616431070434,1.17,16,,79.65319444444445,10.96936111111111,GOOD,GOOD,NO,LT,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65319444444445 10.96936111111111, 79.65330555555556 10.972166666666666)"
4,T.NO 91,S,SA,SC,26,90-91,NO,310.4126286090822,0.89,16,,79.65330555555556,10.972166666666666,GOOD,GOOD,NO,,CANNEL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65330555555556 10.972166666666666, 79.65350000000001 10.974722222222223)"
5,T.NO 92,S,SA,SC,26,91-92,NO,284.77535005684746,0.97,15,,79.65350000000001,10.974722222222223,GOOD,GOOD,NO,,CANNEL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65350000000001 10.974722222222223, 79.65363888888889 10.976972222222223)"
6,T.NO 93,S,SA,SC,26,92-93,YES,248.51559307214507,1.62,17,,79.65363888888889,10.976972222222223,GOOD,GOOD,NO,LT-2NOS,MUD ROAD,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65363888888889 10.976972222222223, 79.65377777777779 10.978944444444444)"
7,T.NO 94,T,SC,SC,29,93-94,NO,216.52020690919358,1.27,18,"27°17'0""",79.65377777777779,10.978944444444444,GOOD,GOOD,NO,LT-2NOS,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65377777777779 10.978944444444444, 79.65277777777779 10.98113888888889)"
8,T.NO 95,S,SA,SC,32,94-95,YES,267.8656379605268,0.31,18,,79.65277777777779,10.98113888888889,GOOD,GOOD,NO,LT-2NOS,"RIVER,CANNEL,TAAR ROAD",CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65277777777779 10.98113888888889, 79.65183333333334 10.983333333333333)"
9,T.NO 96,S,SA,SC,26,95-96,NO,262.6175927084855,1.72,18,,79.65183333333334,10.983333333333333,GOOD,GOOD,NO,,,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65183333333334 10.983333333333333, 79.65077777777779 10.985722222222222)"
10,T.NO 97,S,SA,SC,26,96-97,YES,287.9600666759195,0.42,11,,79.65077777777779,10.985722222222222,GOOD,GOOD,NO,"11KV,LT",CANNEL,CULTIVATION LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.65077777777779 10.985722222222222, 79.64980555555556 10.987944444444443)"
