SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1,T,,KC,24,LILO - T1,0,2.42,77,9.21096751095423,77.8820515796542,,,,,PLAIN LAND,"DC line : Lilo , PLAIn land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8820515796542 9.21096751095423, 77.8827261552214 9.2107394842935)"
2,2,T,"00°19'24""RT",HC+3,24.94,T1-T2,78.37023334152289,2.78,77,9.2107394842935,77.8827261552214,GOOD,AVAILABLE,11KV LINE,ROAD,PLAIN LAND,"DC line :  Road ( kaniyakumari to madurai ) 11kv line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8827261552214 9.2107394842935, 77.8846724331378 9.2100739368413)"
3,3,S,,GC,23.62,T2-T3,226.38713485084136,1.42,78,9.2100739368413,77.8846724331378,GOOD,AVAILABLE,,CART TRACK,AGRI LAND,"DC line , cart tark , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8846724331378 9.2100739368413, 77.8867863491177 9.20934153533702)"
4,4,T,"18°19'36""RT",HC+3,24.94,T3-T4,246.23253768956369,2.76,78,9.20934153533702,77.8867863491177,GOOD,AVAILABLE,11KV LINE,"ROAD,ODAI(NALA)",AGRI LAND,"DC line   Road , 11KV line , odai(nala) , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8867863491177 9.20934153533702, 77.8886970877647 9.2079174353422)"
5,5,S,,GC,23.62,T4-T5,262.7114013703572,1.52,80,9.2079174353422,77.8886970877647,GOOD,AVAILABLE,,CART TRACK,PLAIN LAND,"DC line   , cart tark , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8886970877647 9.2079174353422, 77.8908498957753 9.20625901187198)"
6,6,S,,GC,23.62,T5-T6,299.613618070067,1.87,78,9.20625901187198,77.8908498957753,GOOD,AVAILABLE,,,PLAIN LAND,"DC line    ,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8908498957753 9.20625901187198, 77.8928934037685 9.20466644144017)"
7,7,S,,GC,23.62,T6-T7,285.6520083632669,1.63,82,9.20466644144017,77.8928934037685,GOOD,AVAILABLE,,CART TRACK,PLAIN LAND,"DC line   , cart tark , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8928934037685 9.20466644144017, 77.8950136899948 9.20308246880396)"
8,8,T,"07°45'37""RT",HC+6,27.94,T7-T8,291.77153864279376,2.87,82,9.20308246880396,77.8950136899948,GOOD,AVAILABLE,,RAILWAY CROSSING,PLAIN LAND,"DC line   , Raiway crossing , traction  pole , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8950136899948 9.20308246880396, 77.8956520557403 9.20244371477227)"
9,9,T,"15°19'43""RT",HC+6,27.94,T8-T9,99.64794879977639,2.72,81,9.20244371477227,77.8956520557403,GOOD,AVAILABLE,,,AGRI LAND,"DC line  , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8956520557403 9.20244371477227, 77.8969633206725 9.20017563219839)"
10,10,S,,GC+3,26.62,T9-T10,289.5469755221369,1.58,86,9.20017563219839,77.8969633206725,GOOD,AVAILABLE,,"ROAD,ODAI(NALA)",AGRI LAND,"DC line : odai( nala) , Road , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8969633206725 9.20017563219839, 77.8979872539639 9.19836492866698)"
