S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Gantry ( PKV Patty SS),Gantry,H-POLE,12,,,,155.668364999999,,9.48551600798964,77.6126999594271,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6126999594271 9.48551600798964, 77.6126550324261 9.4853229727596)"
2,33,T,DC,26,Gantry-33,21.926648674861024,6.24,155.319672,"23°16'40"" L",9.4853229727596,77.6126550324261,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6126550324261 9.4853229727596, 77.6129440404474 9.48373896069824)"
3,LILO : 32,T,DC,26,33-32,178.15995079943684,5.19,154.855469,"69°34'6"" L",9.48373896069824,77.6129440404474,GOOD,Available,HT  -2NO,ROAD,PLAIN,LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6129440404474 9.48373896069824, 77.6146930083632 9.48481704108417)"
4,34,T,SC,22,32-34,226.19671788100348,3.39,156.386641999999,"0°33'51"" L",9.48481704108417,77.6146930083632,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6146930083632 9.48481704108417, 77.6168500073254 9.48617599904537)"
5,35,S,SA,22,34-35,280.6954744196014,4.17,157.074219,,9.48617599904537,77.6168500073254,GOOD,Available,LT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6168500073254 9.48617599904537, 77.6186029985547 9.48724200949072)"
6,36,S,SA,22,35-36,225.87134584843307,5.02,157.462189,,9.48724200949072,77.6186029985547,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6186029985547 9.48724200949072, 77.6205360330641 9.48844196274876)"
7,37,S,SA,22,36-37,250.49395966444078,3.14,158.185759999999,,9.48844196274876,77.6205360330641,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6205360330641 9.48844196274876, 77.6221959851682 9.48947302065789)"
8,38,S,SA,22,37-38,215.1427454157161,4.6,157.608032,,9.48947302065789,77.6221959851682,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6221959851682 9.48947302065789, 77.6240609586238 9.4906380213797)"
9,39,S,SA,22,38-39,242.10290463223836,4.01,156.916396999999,,9.4906380213797,77.6240609586238,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6240609586238 9.4906380213797, 77.6259519997984 9.49181299656629)"
10,40,S,SA,22,39-40,245.1155046802982,4.82,157.702957,,9.49181299656629,77.6259519997984,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6259519997984 9.49181299656629, 77.6280140317976 9.49308201670646)"
11,41,T,SC,22,40-41,266.56520205465233,3.17,156.355362,"0°10'12"" L",9.49308201670646,77.6280140317976,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6280140317976 9.49308201670646, 77.6300639938563 9.49435195885598)"
12,42,S,SA,22,41-42,265.49268510818075,5.19,155.230056999999,,9.49435195885598,77.6300639938563,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6300639938563 9.49435195885598, 77.6320360042154 9.49557999148964)"
13,43,S,SA,22,42-43,255.77140077010762,4.06,155.33783,,9.49557999148964,77.6320360042154,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6320360042154 9.49557999148964, 77.6342070009559 9.49679603800177)"
14,44,S,SA,22,43-44,273.8839726679772,3.76,153.271072,,9.49679603800177,77.6342070009559,GOOD,Available,LT,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6342070009559 9.49679603800177, 77.6359449885785 9.49796497821807)"
15,45,S,SA,22,44-45,230.6565361726252,5.73,154.088134999999,,9.49796497821807,77.6359449885785,GOOD,Available,LT -2NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6359449885785 9.49796497821807, 77.6381950266659 9.4993660133332)"
16,46,T,SC,22,45-46,291.8230892983268,6.11,152.200851,"0°46'17"" L",9.4993660133332,77.6381950266659,GOOD,Available,"LT ,HT",,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6381950266659 9.4993660133332, 77.6395419985055 9.50023001991212)"
17,LILO : 47,T,DC,26,46-47LILO,176.20088975784225,5.1,151.427322,,9.50023001991212,77.6395419985055,GOOD,NO E/W,"LT,HT",ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
