S. No ,Tower No,Supspension/Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO - 21,T,DD+0,25,,,2.88,291.676941,52°28'35''LT,9.98824,77.5166,GOOD,Available,52°28'35''LT,,Plain,LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5166 9.98824, 77.5164 9.98777)"
2,1,T,DC+0,25,LILO : 21 - 1,59,6.31,291.676941,36°17'22''RT,9.98777,77.5164,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5164 9.98777, 77.5165 9.98522)"
3,2,S,DA+0,28,1-2,285,3.45,293.730346999999,,9.98522,77.5165,GOOD,Available,11 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5165 9.98522, 77.5165 9.9835)"
4,3,T,DC+0,25,2-3,193,8.1,296.529358,34°0'2''LT,9.9835,77.5165,GOOD,Available,"11KV, LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5165 9.9835, 77.5157 9.98146)"
5,4,S,DA+0,28,3-4,245,4.01,297.165130999999,,9.98146,77.5157,GOOD,Available,11 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5157 9.98146, 77.5148 9.97938)"
6,5,S,DA+0,28,4-5,252,3.8,297.745178,,9.97938,77.5148,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5148 9.97938, 77.514 9.97737)"
7,6,S,DA+0,28,5-6,244,5.82,299.061646,,9.97737,77.514,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.514 9.97737, 77.5129 9.97467)"
8,7,S,DA+0,28,6-7,326,9.8,298.552550999999,,9.97467,77.5129,GOOD,Available,2 LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5129 9.97467, 77.5117 9.97198)"
9,8,T,DC+0,25,7-8,325,0.22,300.978820999999,14°1'29''LT,9.97198,77.5117,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5117 9.97198, 77.5114 9.96961)"
10,9,S,DA+0,28,8-9,267,4.96,301.077698,,9.96961,77.5114,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5114 9.96961, 77.511 9.96705)"
11,10,S,DA+0,28,9-10,290,1.4,304.332825,,9.96705,77.511,GOOD,Available,,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.511 9.96705, 77.5106 9.96483)"
12,11,S,DA+0,28,10-11,251,8.8,304.084228999999,,9.96483,77.5106,GOOD,Available,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5106 9.96483, 77.5102 9.96246)"
13,12,S,DA+0,28,11-12,269,6.4,300.539245999999,,9.96246,77.5102,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5102 9.96246, 77.5099 9.95993)"
14,13,S,DA+0,28,12-13,285,7.45,304.12326,,9.95993,77.5099,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5099 9.95993, 77.5095 9.95741)"
15,14,T,DC+0,25,13-14,284,6.1,306.935944,49°48'36''RT,9.95741,77.5095,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5095 9.95741, 77.5108 9.95506)"
16,15,S,DA+0,28,14-15,300,8.1,307.97699,,9.95506,77.5108,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5108 9.95506, 77.5121 9.95268)"
17,16,S,DA+0,28,15-16,304,7.1,307.257750999999,,9.95268,77.5121,GOOD,Available,,Village road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5121 9.95268, 77.5135 9.95031)"
18,17,S,DA+0,28,16-17,302,12.33,309.136749,,9.95031,77.5135,GOOD,Available,2 LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5135 9.95031, 77.5147 9.94803)"
19,18,S,DA+0,28,17-18,292,4.8,306.642944,,9.94803,77.5147,GOOD,Available,3 NO 11 KV,Village road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5147 9.94803, 77.5161 9.94564)"
20,19,S,DA+0,28,18-19,304,9.8,308.259978999999,,9.94564,77.5161,GOOD,Available,LT,Breaks Land,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5161 9.94564, 77.5175 9.94307)"
21,20,T,DC+0,25,19-20,326,5.5,307.628845,7°59'12''RT,9.94307,77.5175,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5175 9.94307, 77.5185 9.9405)"
