SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY ,TTN SIPCOT,,,,,,,42.32,12,8.814372,78.097885,,,,,Gantry TTN SIPCOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.097885 8.814372, 78.0968898162245 8.81494569869716)"
1,1,T,"02°27'09""RT",PB+3,23.85,Gantry (TTN SIPCOT)- T 1,50.33170925968022,34.98,13,8.81494569869716,78.0968898162245,AVAILABLE,22KV LINE,THAR ROAD,PLAIN LAND,"Sc Line,thar road 22kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0968898162245 8.81494569869716, 78.0962135642767 8.81524686481222)"
2,2,T,"57°58'99""LT",PC,21.65,T1 -T 2,81.58391419881482,38.1,13,8.81524686481222,78.0962135642767,AVAILABLE,,,PLAIN LAND,"Sc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0962135642767 8.81524686481222, 78.0956519767642 8.81907983652714)"
3,3,S,,PB,20.85,T2-T3,428.77614882358836,40.980000000000004,16,8.81907983652714,78.0956519767642,AVAILABLE,,,PLAIN LAND,"Sc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0956519767642 8.81907983652714, 78.0953683331608 8.82052700575279)"
4,4,S,,PA,20.9,T3-T4,163.21185193484723,44.56,15,8.82052700575279,78.0953683331608,AVAILABLE,,CANAL,PLAIN LAND,"Sc Line,plain land ,canal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0953683331608 8.82052700575279, 78.0950937420129 8.8220642855306)"
5,5,T,"08°38'11""LT",PB,20.85,T4-T5,172.8348641941456,39.980000000000004,13,8.8220642855306,78.0950937420129,AVAILABLE,,,PLAIN LAND,"Sc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0950937420129 8.8220642855306, 78.095041103661 8.82383513113333)"
6,6,S,,PA,20.9,T5-T6,196,44.09,15,8.82383513113333,78.095041103661,AVAILABLE,,,PLAIN LAND,"Sc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.095041103661 8.82383513113333, 78.0949126929044 8.82575638132758)"
7,7,T,"11°97'85""LT",PB,20.85,T6-T7,213.1437956123083,39.980000000000004,13,8.82575638132758,78.0949126929044,AVAILABLE,22KV LINE,,PLAIN LAND,"Sc Line,22kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0949126929044 8.82575638132758, 78.095170520246 8.82754145531637)"
8,8,S,,PA,20.9,T7-T8,199.6296608747866,43.78,13,8.82754145531637,78.095170520246,AVAILABLE,,,PLAIN LAND,"Sc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.095170520246 8.82754145531637, 78.0954558402299 8.82939609430993)"
9,9,T,"02°73'99""RT",PA,20.9,T8-T9,207.69054063442445,42.980000000000004,14,8.82939609430993,78.0954558402299,AVAILABLE,,,PLAIN LAND,"Sc Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0954558402299 8.82939609430993, 78.0956891924142 8.83115199616021)"
