SL.NO,TOWER NO,Tower Suspension/ Tension,DEVIATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA    ( Plain / Hills / Forest / Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,GANTRY(NANGUNERI),T,,,,,,,,8.451287592679323,77.64577277129503,,,,,Nanguneri gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64577277129503 8.451287592679323, 77.64582775947342 8.451617568373736)"
2,1,T,"66°12'44""LT",KC,24,Gantry (Nanguneri)- T1,37.017944324232126,40.85,83,8.451617568373736,77.64582775947342,AVAILABLE,,,PLAIN LAND," DC line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64582775947342 8.451617568373736, 77.64673903544977 8.450657800569942)"
3,2,T,"113°38'24""RT",KC+3,27,T1-T2,146.16660237541961,40.78,82,8.450657800569942,77.64673903544977,AVAILABLE,"33KV LINE,LT LINE",ROAD,PLAIN LAND," DC line , 33 kv line , lt line, road ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64673903544977 8.450657800569942, 77.64442697238283 8.449154219511321)"
4,3,T,"29°29'38""RT",KC,24,T2-T3,304.2995783434125,39.42,82,8.449154219511321,77.64442697238283,AVAILABLE,,,PLAIN LAND," DC line ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64442697238283 8.449154219511321, 77.64158249271989 8.448973212472032)"
5,4,T,"41°56'43""LT",KC,24,T3-T4,314.07509371010553,40.38,83,8.448973212472032,77.64158249271989,AVAILABLE,,,PLAIN LAND," DC line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64158249271989 8.448973212472032, 77.64030307477668 8.44767222201122)"
6,5,T,"04°51'02""RT",HC,21.94,T4-T5,201.51110167178612,37.94,84,8.44767222201122,77.64030307477668,AVAILABLE,,,PLAIN LAND," DC line ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64030307477668 8.44767222201122, 77.63915978495598 8.446691265882244)"
7,6,T,"60°20'55""RT",KC,24,T5-T6,166.30520021931176,40.45,84,8.446691265882244,77.63915978495598,AVAILABLE,,CART TRACK,PLAIN LAND," DC line ,plain land, cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63915978495598 8.446691265882244, 77.63697478588043 8.447532023862122)"
8,7,s,,GC,23.62,T6-T7,258.11861645768005,38.61,85,8.447532023862122,77.63697478588043,AVAILABLE,,,PLAIN LAND," DC line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63697478588043 8.447532023862122, 77.63488937187934 8.44820496738295)"
9,8,T,"50°31'01""LT",KC,24,T7-T8,241.55796457574525,39.37,86,8.44820496738295,77.63488937187934,AVAILABLE,,,PLAIN LAND," DC line ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63488937187934 8.44820496738295, 77.6337400445426 8.447519495848502)"
10,9,T,"47°36'31""RT",KC,24,T8-T9,147.628507291165,35.41,86,8.447519495848502,77.6337400445426,AVAILABLE,,,PLAIN LAND," DC line, plain land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6337400445426 8.447519495848502, 77.63153426203074 8.448177847121753)"
