S.No,Tower No.,Tower Suspension/Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of    Tower  (Missing  Parts,Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1 (LILO),T,DD+0,28,,,1.29,291.096190999999,,10.0145,77.5983,GOOD,Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5983 10.0145, 77.5986 10.0136)"
2,2,T,DC+0,28,1-2,107.53222178159632,0.95,291.096190999999,34°2'46''LT,10.0136,77.5986,GOOD,Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5986 10.0136, 77.5996 10.012)"
3,3,T,DC+0,28,2-3,210.09781807813903,2.86,291.663971,73°20'18''LT,10.012,77.5996,GOOD,Available,11KV - 2NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5996 10.012, 77.6003 10.0097)"
4,4,T,DC+0,28,3-4,265.17030778145767,2.68,291.19162,73°58'25''LT,10.0097,77.6003,GOOD,Available,LT,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6003 10.0097, 77.6007 10.0076)"
5,5,T,DC+0,28,4-5,238.93735857498788,2.27,292.893310999999,49°47'24''LT,10.0076,77.6007,GOOD,Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6007 10.0076, 77.6011 10.0055)"
6,6,T,DC+0,28,5-6,243.63144873963222,0.6,293.425049,45°59'26''LT,10.0055,77.6011,GOOD,Available,11KV - 3NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6011 10.0055, 77.601 10.0034)"
7,7,T,DC+0,28,6-7,225.40865012030204,0.76,294.730927,16°26'33''RT,10.0034,77.601,GOOD,Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.601 10.0034, 77.6008 10.002)"
8,8,T,DC+0,28,7-8,154.3534311330614,1.56,296.181334999999,12°43'4''RT,10.002,77.6008,GOOD,Available,"LT-2NO, 11KV-2NO",NH ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6008 10.002, 77.6008 10.0018)"
9,ANDIPATTY SS,T,Gantry,12,8-GANTRY,21.427451823086166,,296.551147,,10.0018,77.6008,GOOD,No E/W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Length,,,,,,=SUM(G7:G15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
