SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
,Gantry (Sattur),,,,,,,,,9.366114,77.915977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.915977 9.366114, 77.9158138856291 9.36629440087705)"
1,1,T,,,,Gantry (Sattur)- T1,80,2.78,,9.36629440087705,77.9158138856291,GOOD,AVAILABLE,,,PLAIN LAND,"SC LINE, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9158138856291 9.36629440087705, 77.9158008098602 9.36760472195953)"
2,2,S,,GC+3,26.62,T1-T2,145.06002514829058,1.43,,9.36760472195953,77.9158008098602,GOOD,AVAILABLE,LT LINE-2NOS,ROAD,PLAIN LAND,"SC LINE,  road , 2Nos  LT Line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9158008098602 9.36760472195953, 77.9158142209053 9.36936460010837)"
3,3,T,"1°3'8""RT",HC+3,24.94,T2-T3,194.8230510232047,2.76,,9.36936460010837,77.9158142209053,GOOD,AVAILABLE,LT LINE-2NOS,ROAD,PLAIN LAND,"SC LINE, Road ,  2Nos Lt Line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9158142209053 9.36936460010837, 77.9159037396311 9.37103118326068)"
4,4,S,,GC+3,26.62,T3-T4,184.75302724717852,1.42,,9.37103118326068,77.9159037396311,GOOD,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"SC LINE,Road , LT Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9159037396311 9.37103118326068, 77.9160509258508 9.3733950844271)"
5,5,S,,GC+3,26.62,T4-T5,262.18358564373295,1.54,,9.3733950844271,77.9160509258508,GOOD,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"SC LINE, Road ,LT LINE, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9160509258508 9.3733950844271, 77.9161384329199 9.37553402730393)"
6,6,S,,GC,23.62,T5-T6,236.97670338031642,1.63,,9.37553402730393,77.9161384329199,GOOD,AVAILABLE,,,PLAIN LAND,"SC LINE, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9161384329199 9.37553402730393, 77.9159610718488 9.37725714692134)"
7,7,T,"64°38'22""LT",KC,24,T6-T7,191.74338612323078,2.7,,9.37725714692134,77.9159610718488,GOOD,AVAILABLE,,,PLAIN LAND,"SC LINE, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9159610718488 9.37725714692134, 77.9138954356312 9.37827632729394)"
8,8,T,"2°39'0""LT",HC,21.94,T7-T8,253.5720460717325,2.26,,9.37827632729394,77.9138954356312,GOOD,AVAILABLE,,,PLAIN LAND,"SC LINE, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9138954356312 9.37827632729394, 77.9125000163912 9.37888664322101)"
9,9,T,"1°24'43""RT",HC,21.94,T8-T9,167.6262859398789,2.58,,9.37888664322101,77.9125000163912,GOOD,AVAILABLE,,,PLAIN LAND,"SC LINE, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9125000163912 9.37888664322101, 77.9102516546845 9.38000174884343)"
10,10,S,,GC,23.62,T9-T10,276.28529714956227,1.47,,9.38000174884343,77.9102516546845,GOOD,AVAILABLE,LT LINE,,PLAIN LAND,"SC LINE, ,LT Line,PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9102516546845 9.38000174884343, 77.9080415144562 9.38096832518606)"
11,11,T,"17°16'4""LT",HC,21.94,T10-T11,265.4896240721219,2.52,,9.38096832518606,77.9080415144562,GOOD,AVAILABLE,,,PLAIN LAND,"SC LINE, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9080415144562 9.38096832518606, 77.9077515006065 9.38100835104771)"
12,12,T,,,,T11-T12LILO,32.189850108376945,2.74,,9.38100835104771,77.9077515006065,GOOD,AVAILABLE,,,PLAIN LAND,"DC LINE,LILO,PLAIN LAND,THULUGAPATTY TO ANUPPANKULAM LINE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H7:H18)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
