S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,LILO : 47,S,DC,26,,,,109,,8.9825680386275,77.6160150021314,GOOD,,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6160150021314 8.9825680386275, 77.61599204 8.982419008)"
2, 47/1 ,T,DC,26,"=B6&""-""&B7",16.68567155239665,1.18,93.31102,"2°17'21"" R",8.982419008,77.61599204,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61599204 8.982419008, 77.616086 8.980046008)"
3,47/2,T,DC,26,"=B7&""-""&B8",262.8241982364254,1.02,95.005211,"26°1'8"" R",8.980046008,77.616086,GOOD,Available,HT -2NO,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.616086 8.980046008, 77.61531101 8.978296034)"
4, 47/3,S,DC,26,"=B8&""-""&B9",211.6125166500149,0.33,97.605118,,8.978296034,77.61531101,GOOD,Available,HT -2NO,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61531101 8.978296034, 77.61449 8.976378003)"
5, 47/4,T,DC,26,"=B9&""-""&B10",230.69275902238908,0.42,100.896133,"21°24'38"" L",8.976378003,77.61449,GOOD,Available,"LT,HT",POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61449 8.976378003, 77.61441498 8.973778021)"
6, 47/5,S,DC,26,"=B10&""-""&B11",287.8588950938469,1.16,101.451675,,8.973778021,77.61441498,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61441498 8.973778021, 77.61433502 8.971696962)"
7, 47/6,T,DC,26,"=B11&""-""&B12",230.47916029871823,0.59,104.321281,"12°14'4"" L",8.971696962,77.61433502,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61433502 8.971696962, 77.61474699 8.969384981)"
8, 47/7,S,DC,26,"=B12&""-""&B13",259.8519282059314,0.31,106.317947,,8.969384981,77.61474699,GOOD,Available,HT ,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61474699 8.969384981, 77.61516902 8.967076018)"
9, 47/8,T,DC,26,"=B13&""-""&B14",259.7188037168298,0.45,107.349396,"17°46'17"" L",8.967076018,77.61516902,GOOD,Available,HT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61516902 8.967076018, 77.61621499 8.965125969)"
10, 47/9,S,DC,26,"=B14&""-""&B15",244.5851675623423,0.76,107.261452,,8.965125969,77.61621499,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61621499 8.965125969, 77.61733398 8.963009035)"
11, 47/10,S,DC,26,"=B15&""-""&B16",264.6680446440072,2.01,107.524063,,8.963009035,77.61733398,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61733398 8.963009035, 77.61845699 8.960865028)"
12, 47/11,T,DC,26,"=B16&""-""&B17",267.528452961603,1.37,107.557068,"24°48'15"" R",8.960865028,77.61845699,GOOD,Available,HT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61845699 8.960865028, 77.61856201 8.958655978)"
13, 47/12,S,DC,26,"=B17&""-""&B18",244.74956698533308,0.24,108.089912,,8.958655978,77.61856201,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61856201 8.958655978, 77.61865798 8.956269985)"
14, 47/13,S,DC,26,"=B18&""-""&B19",264.27003335135237,1.38,108.424225,,8.956269985,77.61865798,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61865798 8.956269985, 77.61872504 8.954069987)"
15, 47/14,S,DC,26,"=B19&""-""&B20",243.58658225866972,0.53,107.569252,,8.954069987,77.61872504,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61872504 8.954069987, 77.61884197 8.951692041)"
16, 47/15,T,DC,26,"=B20&""-""&B21",263.48272524142277,1.02,107.616302,"7°34'21"" L",8.951692041,77.61884197,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61884197 8.951692041, 77.61923902 8.949534958)"
17, 47/16,S,DC,26,"=B21&""-""&B22",242.69075247487586,0.69,108.724457,,8.949534958,77.61923902,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61923902 8.949534958, 77.61979097 8.947352981)"
18, 47/17,S,DC,26,"=B22&""-""&B23",249.00183289907966,2.08,108.464188,,8.947352981,77.61979097,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61979097 8.947352981, 77.62027603 8.945078971)"
19, 47/18,S,DC,26,"=B23&""-""&B24",257.2642164940808,1.15,108.529037,,8.945078971,77.62027603,GOOD,Available,HT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62027603 8.945078971, 77.620789 8.942784006)"
20, 47/19,T,DC,26,"=B24&""-""&B25",260.1824771083481,0.73,108.794579,"60°21'24"" R",8.942784006,77.620789,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.620789 8.942784006, 77.619438 8.941567037)"
21, 47/20,T,DC,26,"=B25&""-""&B26",200.60447073982058,0.56,109.993423,"39°13'55"" L",8.941567037,77.619438,GOOD,Available,"HT,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.619438 8.941567037, 77.61902201 8.938830011)"
22, 47/21,S,DC,26,"=B26&""-""&B27",306.3474086996449,2.1,109.840324,,8.938830011,77.61902201,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61902201 8.938830011, 77.61871004 8.936694972)"
