SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,IRUKKANDURAI GANTRY,T,,KC,24,Gantry (Irukkandurai)- T1,,2.78,35,8.209656679714506,77.65118881945878,GOOD,AVAILABLE,,,PLAIN AREA,"Dc Line,plain Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65118881945878 8.209656679714506, 77.64853477773359 8.210564979095246)"
2,2,S,,PA,20.9,T1-T2,309.4114946603666,1.48,40,8.210564979095246,77.64853477773359,GOOD,NOT AVAILABLE,"33KV LINE,22KV LINE,LT LINE",,AGRI LAND,"SC LINE 33kv line,22kv Line,Lt Line,Road,T1 TO T2  earth wire is not Available, Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64853477773359 8.210564979095246, 77.64596086380516 8.211457356180219)"
3,3,S,,PA,20.9,T2-T3,300.4847300213064,1.78,37,8.211457356180219,77.64596086380516,GOOD,NOT AVAILABLE,"33KV LINE-2NOS,11KV LINE",CART TRACK,PLAIN AREA,"Sc line, T2 TO T3  earth wire is not Available,,33kv line-2Nos,11kv line, cart track ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64596086380516 8.211457356180219, 77.64333933198772 8.212373952784823)"
4,4,T,"26°15'23""LT",PB+3,23.85,T3-T4,306.3240016143236,2.44,36,8.212373952784823,77.64333933198772,GOOD,AVAILABLE,,,PLAIN AREA,"Sc Line,plain Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64333933198772 8.212373952784823, 77.64059208299788 8.21204516776035)"
5,5,S,,PA,20.9,T4-T5,305.0819151801862,1.56,29,8.21204516776035,77.64059208299788,GOOD,AVAILABLE,,"POND, OODAI BUND",AGRI LAND,"Sc line, Pond, Odai bund,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64059208299788 8.21204516776035, 77.63773016928837 8.21157335993567)"
6,6,S,,PA,20.9,T5-T6,319.83771014224675,1.63,29,8.21157335993567,77.63773016928837,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"Sc line,Lt line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63773016928837 8.21157335993567, 77.63526756356943 8.211367343836097)"
7,7,S,,PA,20.9,T6-T7,272.47494389394285,1.7,31,8.211367343836097,77.63526756356943,GOOD,AVAILABLE,,,AGRI LAND,"Sc line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63526756356943 8.211367343836097, 77.63308524932503 8.211085003644328)"
8,8,S,,PA+3,23.9,T7-T8,242.6355774407093,1.36,33,8.211085003644328,77.63308524932503,GOOD,AVAILABLE,,ROAD,WATER LOGGED AREA,"Sc Line, Road,Water loggedarea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63308524932503 8.211085003644328, 77.63092104189032 8.210833516950288)"
9,9,T,"11°53'45""LT",PB+3,23.85,T8-T9,240.23613655936904,2.58,35,8.210833516950288,77.63092104189032,GOOD,AVAILABLE,LT LINE-2NOS,"ROAD, ODAIBUND",PLAIN AREA,"Sc Line,lt line-2Nos,Road, Odai bund,plain Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63092104189032 8.210833516950288, 77.6286207145615 8.210039478606637)"
10,10,S,,PA,20.9,T9-T10,268.41951438011904,1.4,33,8.210039478606637,77.6286207145615,GOOD,AVAILABLE,,"CART TRACK, OODAI(NALA)",PLAIN AREA,"Sc Line, cart track.odai(Nala),plain Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6286207145615 8.210039478606637, 77.62621276198212 8.209209929508482)"
