SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
GANTRY,Gantry (N M Patti),,,,,,,,67,9.39763820045882,77.9862849041819,GOOD,,,,,N M PATTY SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9862849041819 9.39763820045882, 77.9861216247081 9.39766499334214)"
1,1,T,"4°43'16""RT",HC,21.94,Gantry (N M Patti)-T1,18.193778991818995,2.78,67,9.39766499334214,77.9861216247081,GOOD,NOT AVAILABLE,,,AGRI LAND,"DC line,T1 TO T2  EARTH  WIRE IS NOT AVAILABLE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9861216247081 9.39766499334214, 77.9839500412345 9.3982068045378)"
2,2,T,"59°8'36""RT",KC,24,T1-T2,246.15773887692546,2.43,67,9.3982068045378,77.9839500412345,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"DC line,LT line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9839500412345 9.3982068045378, 77.9834367334842 9.39990004175167)"
3,3,T,"19°23'9""LT",HC,21.94,T2-T3,195.7630858486726,2.52,66,9.39990004175167,77.9834367334842,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"DC line,LT line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9834367334842 9.39990004175167, 77.9819082096219 9.40197828973938)"
4,4,T,"46°9'32""RT",KC,24,T3-T4,284.9289472132034,2.76,68,9.40197828973938,77.9819082096219,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9819082096219 9.40197828973938, 77.9822867363691 9.40438497991296)"
5,5,S,,GC,23.62,T4-T5,269.6358893693553,1.65,68,9.40438497991296,77.9822867363691,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9822867363691 9.40438497991296, 77.9827698692679 9.40682175319328)"
6,6,T,"11°46'58""LT",HC,21.94,T5-T6,274.9493189025848,2.63,67,9.40682175319328,77.9827698692679,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9827698692679 9.40682175319328, 77.9826883971691 9.40919169471935)"
7,7,S,,GC,23.62,T6-T7,262.52163828905054,2.7,69,9.40919169471935,77.9826883971691,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"DC line,LT line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9826883971691 9.40919169471935, 77.9826283827424 9.41138499249411)"
8,8,T,"27°22'10""RT",HC,21.94,T7-T8,242.90260132203412,2.37,69,9.41138499249411,77.9826283827424,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9826283827424 9.41138499249411, 77.9835416749119 9.41317177071306)"
9,9,S,,GC,23.62,T8-T9,221.82891573695255,1.58,69,9.41317177071306,77.9835416749119,GOOD,AVAILABLE,LT LINE-2NOS,,AGRI LAND,"DC line,2nos LT line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9835416749119 9.41317177071306, 77.9845548793673 9.41537661981043)"
